kind,order,issue_id,category,priority,best_article_id,backup_article_ids,reason,issue_group,issue_family,internal_category,issue_score,titles
selected,1,I001,자사_및_계열사_이슈,5,3,"81,4,73,56,33,39",노조의 파업 예고는 인력 운용 및 기업 이미지에 직접적인 영향을 미치는 중대 리스크. 경영진의 즉각적인 상황 인지와 대응 방향 논의가 필요함.,카카오 노조 임단협/파업 및 내부 갈등,노동/파업,SELF_DIRECT_RISK,382.0,[기자수첩] 명분만으론 부족한 카카오의 첫 파업 | 엔비디아 업은 네이버 웃고…파업 리스크 카카오 울고 | 카카오 파업 현실화·셀트리온 첫 노조 출범
selected,2,I006,자사_및_계열사_이슈,4,64,"67,10,82,61,63,1228",이재승 부사장의 제주지사직 인수위원 참여는 지역 사회와의 협력 관계 강화 및 카카오의 대외 영향력을 보여주는 긍정적 사례. 지역 기반 사업 및 정책 협력에 참고가 됨.,AI 정책 컨트롤타워 인선/공백,인선/조직,SELF_DIRECT_RISK,280.0,위성곤 제주지사 인수위 '김일환 전 총장·이재승 카카오 부사장' 투톱 체제 | 위성곤 제주지사 인수위 '김일환 전 총장·이재승 카카오 부사장' 투톱 체제 | 제주대 김일환·카카오 이재승 위성곤 당선인 인수위 가동
selected,3,I028,정부_국회,5,526,,"금융권의 AI 활용에 대한 규제 논의는 카카오뱅크, 카카오페이 등 금융 계열사의 AI 도입 및 서비스 개발에 직접적인 영향을 미치는 핵심 정책 이슈. '모형위험관리' 체계 확장 방향에 주목 필요.",금융권 AI 규제,금융 AI,GOV_AI_DIGITAL_POLICY,188.5,"""금융권 AI 규제, 기존 '모형위험관리' 체계 확대해야"""
selected,4,I095,정부_국회,4,161,,'K-피지컬 AI 특별법' 발의는 정부의 AI 하드웨어 및 인프라 육성 의지를 보여주는 정책. 국내 AI 생태계 변화와 인프라 확보 전략 수립에 있어 중요한 정부 동향임.,K-피지컬AI 특별법 발의,K-피지컬AI 특별법,GOV_AI_DIGITAL_POLICY,121.5,"젠슨 황이 눈독 들이는 'K-피지컬AI 특별법' 발의…생태계 지원 속도 낼까 [주목, 이 주의 법안]"
selected,5,I094,정부_국회,4,1291,,"미국에서 초당적으로 발의된 AI 규제 법안은 글로벌 AI 거버넌스의 향방을 가늠할 중요한 바로미터. 카카오의 글로벌 AI 전략 및 서비스 안전성 확보, 규제 준수 방안 수립에 핵심 참고 자료.",미국 거대 AI 법안 초안 공개,미국 AI 법안,GOV_AI_DIGITAL_POLICY,121.5,"美, 초당적 ‘거대 AI 법안’ 초안 공개… 프런티어 개발사 6개월 감사·주(州) 규제 3년 동결"
selected,6,I002,경쟁사_해외이슈,5,1661,"2187,215,256,1219,1204,1656,196,1192,1223",네이버의 엔비디아 협력 기반 AIDC 전략과 LGU+의 수도권 최대 AIDC 구축 계획은 국내 AI 인프라 경쟁이 본격화됨을 시사. 카카오의 AI 데이터센터 및 GPU 확보 전략에 대한 직접적인 비교/검토가 필요함.,국가 AI 인프라/AIDC/GPU 정책,AI 인프라,COMPETITOR_AI_STRATEGY,350.0,"AIDC 매출 향후 5조 달성 목표…LGU+, 수도권 최대 AI 데이터센터 승부수(종합) | [AI 데이터센터의 탄소중립과 RE100, 빅테크 기업들이 실질적으로 실천하는 이유] 이는 곧 AI 서비스 제공 능력과 시장 점유율로 직결된다. 빅테크 기업들에게 탄소중립과 RE100은 선택이 아닌 AI 시대 생존을 위한 필수 전략 | [AI 고속도로] 네이버-엔비디아, 초대형 AI 인프라 '동맹'…유럽·중동 소버린 공략한다"
selected,7,I023,경쟁사_해외이슈,5,1438,,경쟁사인 네이버웹툰이 상장 직후 집단소송에 직면한 것은 플랫폼 기업의 IPO 관련 법적 리스크를 명확히 보여주는 사례. 향후 카카오엔터테인먼트 등 계열사 상장 추진 시 리스크 관리의 중요성을 시사함.,네이버웹툰 IPO 후 집단소송,플랫폼 IPO,COMPETITOR_PLATFORM_RISK,209.25,[네이버웹툰 상장분쟁①] 부실 IPO 후폭풍?…상장 3개월 만에 집단소송 피소
selected,8,I015,경쟁사_해외이슈,4,1750,1811,"토스뱅크가 개인사업자 대상 '소득 순위' 비교 서비스를 출시함. 이는 데이터 기반의 개인화 금융 서비스 경쟁이 심화되고 있음을 보여주며, 카카오뱅크의 사업자 뱅킹 서비스 전략에 참고가 됨.",토스뱅크 사업자 소득 순위 서비스,금융 서비스,SELF_AFFILIATE_BUSINESS,228.5,"“내 가게 매출, 동종업계 몇 %?”…토스뱅크, 사장님 ‘사업소득 순위’ 론칭 | “내 가게 매출, 동종업계 몇 %?”…토스뱅크, 사장님 ‘사업소득 순위’ 론칭"
selected,9,I032,경쟁사_해외이슈,4,1939,1927,오픈AI가 챗GPT를 'AI 에이전트'와 '슈퍼앱'으로 개편하는 것은 AI 시장의 기술 및 서비스 발전 방향을 제시하는 핵심 동향. 카카오의 AI 에이전트 및 카톡 AI 전략 수립에 있어 가장 중요한 해외 경쟁사 동향임.,오픈AI 챗GPT 개편,AI 기업,COMPETITOR_AI_STRATEGY,169.75,"오픈AI, IPO 앞두고 챗GPT 대수술…""코딩·AI에이전트 합친 '슈퍼앱' 선보여"" | 앤트로픽 의식했나…IPO 앞둔 오픈AI, 챗GPT ‘슈퍼앱’ 개편"
selected,10,I003,자사_및_계열사_이슈,5,60,,로컬 보조 라벨,global_incident:leadership_service:kakao:leadership_service,self_leadership_service,SELF_DIRECT_RISK,349.0,강정범 전남창조경제혁신센터 대표이사(오른쪽)가 카카오모빌리티와 지역 오픈이노베이션 생태계 조성 MOU 체결 모습.
