date,issue_id,issue_group,issue_family,category,priority,top_title,top_url,selected,issue_hash,event_key,max_todayness,article_forms,source_version
2026.6.5,I001,국가 AI 인프라/AIDC/GPU 정책,AI 인프라 및 정책,경쟁사_해외이슈,4,,,TRUE,국가 ai 인프라 aidc gpu 정책,,,,
2026.6.5,I002,카카오게임즈 최대주주 변경 및 공동대표 체제,경영권/인선,자사_및_계열사_이슈,5,,,TRUE,카카오게임즈 최대주주 변경 및 공동대표 체제,,,,
2026.6.5,I004,가상자산 이전거래/AML 규제 조정,가상자산 규제 완화,정부_국회,5,,,TRUE,가상자산 이전거래 aml 규제 조정,,,,
2026.6.5,I006,금융권 AI 도입 가이드라인/모범사례,AI 도입 논의,정부_국회,5,,,TRUE,금융권 ai 도입 가이드라인 모범사례,,,,
2026.6.5,I008,네이버페이 앱 장애/복구,서비스_장애,경쟁사_해외이슈,4,,,TRUE,네이버페이 앱 장애 복구,,,,
2026.6.5,I015,네이버_AI_검색_기능_확대,AI_검색_및_창작자_지원,경쟁사_해외이슈,4,,,TRUE,네이버 ai 검색 기능 확대,,,,
2026.6.5,I016,플랫폼 불법촬영 이미지 차단 의무 확대,유통방지_조치,정부_국회,4,,,TRUE,플랫폼 불법촬영 이미지 차단 의무 확대,,,,
2026.6.5,I017,쿠팡페이 제재 절차 돌입,전자금융 규제 및 제재,자사_및_계열사_이슈,2,,,TRUE,쿠팡페이 제재 절차 돌입,,,,
2026.6.5,I029,애플_앱스토어_AI_탑재_앱_현황,AI_앱_및_결제,경쟁사_해외이슈,4,,,TRUE,애플 앱스토어 ai 탑재 앱 현황,,,,
2026.6.5,I030,카톡 선물하기 내 스타벅스 교환권/소비 변화,카카오톡 선물하기,자사_및_계열사_이슈,3,,,TRUE,카톡 선물하기 내 스타벅스 교환권 소비 변화,,,,
2026.6.5,I031,AI 에이전트와 IT 인프라,AI_에이전트_전략,산업동향,2,,,TRUE,ai 에이전트와 it 인프라,,,,
2026.6.5,I044,AI 가상모델 표시 의무화,AI 윤리 및 규제,정부_국회,2,,,TRUE,ai 가상모델 표시 의무화,,,,
2026.6.5,I060,카카오-구글 딥마인드 AI 콘텐츠 워터마크 도입,AI_기술_협력,자사_및_계열사_이슈,2,,,TRUE,카카오 구글 딥마인드 ai 콘텐츠 워터마크 도입,,,,
2026.6.8,I001,국가 AI 인프라/AIDC/GPU 정책,AI 인프라,경쟁사_해외이슈,4,,,TRUE,국가 ai 인프라 aidc gpu 정책,,,,
2026.6.8,I003,네이버 AI 투자 확대 및 수익성 시험대,네이버 AI 전략,경쟁사_해외이슈,5,,,TRUE,네이버 ai 투자 확대 및 수익성 시험대,,,,
2026.6.8,I014,CU편의점·티빙 등 해킹,개인정보보호,경쟁사_해외이슈,2,,,TRUE,cu편의점 티빙 등 해킹,,,,
2026.6.8,I020,챗GPT의 슈퍼앱 전략 및 오픈AI 한국 전략,AI 슈퍼앱,자사_및_계열사_이슈,2,,,TRUE,챗gpt의 슈퍼앱 전략 및 오픈ai 한국 전략,,,,
2026.6.8,I031,"국가정보보호백서, AI 기반 해킹 시대 도래",국가 정보보호,경쟁사_해외이슈,5,,,TRUE,국가정보보호백서 ai 기반 해킹 시대 도래,,,,
2026.6.8,I040,카카오뱅크 퇴직연금 시장 진입,금융 서비스,자사_및_계열사_이슈,3,,,TRUE,카카오뱅크 퇴직연금 시장 진입,,,,
2026.6.8,I044,"방심위, 청소년 노출 성인 웹툰 광고 제재",방송통신위원회 제재,정부_국회,4,,,TRUE,방심위 청소년 노출 성인 웹툰 광고 제재,,,,
2026.6.8,I046,"미국 정부, AI 기업 지분 보유 검토 (오픈AI 논의)",AI_정부정책_해외,경쟁사_해외이슈,1,,,TRUE,미국 정부 ai 기업 지분 보유 검토 오픈ai 논의,,,,
2026.6.8,I047,카카오 노조 임단협/파업 및 내부 갈등,노조 파업,자사_및_계열사_이슈,1,,,TRUE,카카오 노조 임단협 파업 및 내부 갈등,,,,
2026.6.8,I081,AI 서버 전력 소비 규제,AI 에너지 소비,정부_국회,1,,,TRUE,ai 서버 전력 소비 규제,,,,
2026.6.8,I085,디지털자산기본법 제정 지연,디지털자산기본법,정부_국회,1,,,TRUE,디지털자산기본법 제정 지연,,,,
