id,기사제목,언론사,검색어,원카테고리,Gemini카테고리,Gemini내부카테고리,Gemini자사티어,Gemini정부티어,Gemini경쟁사티어,Gemini경쟁사범위,Gemini이슈패밀리,Gemini이슈그룹,Gemini중요도,Gemini대외협력중요도,Gemini관련도,Gemini관련성,Gemini정책영향경로,Gemini경쟁시사점,GeminiPR성,Gemini제외,Gemini판단사유,Gemini라벨소스,랭킹점수,코드힌트
4,카카오 파업 현실화·셀트리온 첫 노조 출범,시사뉴스,카카오,자사_및_계열사_이슈,자사_및_계열사_이슈,SELF_DIRECT_RISK,DIRECT_RISK,,,other,노동/파업,카카오 노조 임단협/파업 및 내부 갈등,1,1,1,카카오 노조가 6월 10일 4시간 부분 파업을 예고하여 서비스 운영 및 대외 이미지에 영향을 줄 수 있습니다.,,,,,카카오 노조의 파업 예고는 경영진의 즉각적인 인지와 대응이 필요한 직접적인 리스크입니다.,gemini,97.0,direct_self_risk
3,[기자수첩] 명분만으론 부족한 카카오의 첫 파업,딜사이트,카카오,자사_및_계열사_이슈,자사_및_계열사_이슈,SELF_DIRECT_RISK,DIRECT_RISK,,,other,self_labor,카카오 노조 임단협/파업 및 내부 갈등,5,5,5,카카오 또는 계열사에 직접 발생한 외부 대응 필요 이슈,,,,,로컬 보조 라벨,local,97.0,direct_self_risk
73,"[이슈] 카카오노조, '엑스엘게임즈' 희망퇴직에 반발하며 파업 예고",인벤,카카오,자사_및_계열사_이슈,자사_및_계열사_이슈,SELF_DIRECT_RISK,DIRECT_RISK,,,other,노동/파업,카카오 노조 임단협/파업 및 내부 갈등,1,1,1,"엑스엘게임즈의 희망퇴직에 대한 카카오 노조의 반발은 카카오 전체의 노동 이슈를 복합적으로 보여주며, 파업 강도 및 시위에 영향을 줄 수 있습니다.",,,,,"카카오 노조의 파업과 연계된 계열사 이슈로, 직접적인 리스크로 판단됩니다.",gemini,95.0,direct_self_risk
56,"""정신아 대표도 리더십 실패""…첫 파업 앞둔 카카오 노조, 압박 수위↑",네이트,카카오,자사_및_계열사_이슈,자사_및_계열사_이슈,SELF_DIRECT_RISK,DIRECT_RISK,,,other,노동/파업,카카오 노조 임단협/파업 및 내부 갈등,1,1,1,카카오 노조가 정신아 대표의 리더십 실패를 언급하며 압박 수위를 높이는 것은 파업의 명분과 파급력에 영향을 미칠 수 있습니다.,,,,,"카카오 노조의 파업 관련 직접적인 비판과 압박 내용으로, 경영진의 인지가 필요한 사안입니다.",gemini,95.0,direct_self_risk
33,"""정신아 대표도 리더십 실패""…첫 파업 앞둔 카카오 노조, 압박 수위↑",v.daum.net,카카오,자사_및_계열사_이슈,자사_및_계열사_이슈,SELF_DIRECT_RISK,DIRECT_RISK,,,other,노동/파업,카카오 노조 임단협/파업 및 내부 갈등,1,1,1,카카오 노조가 정신아 대표의 리더십 실패를 언급하며 압박 수위를 높이는 것은 파업의 명분과 파급력에 영향을 미칠 수 있습니다.,,,,,"카카오 노조의 파업 관련 직접적인 비판과 압박 내용으로, 경영진의 인지가 필요한 사안입니다.",gemini,95.0,direct_self_risk
39,"""정신아 대표도 리더십 실패""…첫 파업 앞둔 카카오 노조, 압박 수위↑",더팩트,카카오,자사_및_계열사_이슈,자사_및_계열사_이슈,SELF_DIRECT_RISK,DIRECT_RISK,,,other,노동/파업,카카오 노조 임단협/파업 및 내부 갈등,1,1,1,카카오 노조가 정신아 대표의 리더십 실패를 언급하며 압박 수위를 높이는 것은 파업의 명분과 파급력에 영향을 미칠 수 있습니다.,,,,,"카카오 노조의 파업 관련 직접적인 비판과 압박 내용으로, 경영진의 인지가 필요한 사안입니다.",gemini,95.0,direct_self_risk
10,제주대 김일환·카카오 이재승 위성곤 당선인 인수위 가동,서귀포신문,카카오,자사_및_계열사_이슈,자사_및_계열사_이슈,SELF_DIRECT_RISK,STRATEGIC_REFERENCE,,,other,인선/조직,AI 정책 컨트롤타워 인선/공백,5,1,1,카카오 이재승 부사장이 위성곤 제주지사 당선인의 인수위 투톱으로 참여하는 것은 지역 사회에서의 카카오의 영향력과 인적 네트워크 확장을 시사합니다.,,,,,"카카오 임원의 지역 정치권과의 협력은 직접적인 리스크는 아니지만, 향후 사업 확장 및 대관 측면에서 전략적 참고가 가능합니다.",gemini,94.0,direct_self_risk
81,엔비디아 업은 네이버 웃고…파업 리스크 카카오 울고,메트로신문,카카오,자사_및_계열사_이슈,경쟁사_해외이슈,SELF_DIRECT_RISK,DIRECT_RISK,,COMP_DOMESTIC_AI_PLATFORM,domestic,AI/파트너십,카카오 노조 임단협/파업 및 내부 갈등,1,1,1,네이버가 엔비디아와의 협력을 통해 AI 데이터센터 사업에 속도를 내는 것은 카카오의 AI 인프라 경쟁력 확보 노력에 전략적 참고가 될 수 있습니다.,,국내 경쟁사인 네이버가 AI 인프라 분야에서 엔비디아와 같은 글로벌 선도 기업과 협력하며 경쟁 우위를 확보하려는 움직임을 보이고 있습니다.,,,국내 주요 경쟁사의 AI 인프라 강화 전략은 카카오의 AI 사업 경쟁력에 직접적인 영향을 미칠 수 있습니다.,gemini,93.0,direct_self_risk
64,위성곤 제주지사 인수위 '김일환 전 총장·이재승 카카오 부사장' 투톱 체제,뉴스1,카카오,자사_및_계열사_이슈,자사_및_계열사_이슈,SELF_DIRECT_RISK,STRATEGIC_REFERENCE,,,other,인선/조직,AI 정책 컨트롤타워 인선/공백,5,1,1,카카오 이재승 부사장이 위성곤 제주지사 당선인의 인수위 투톱으로 참여하는 것은 지역 사회에서의 카카오의 영향력과 인적 네트워크 확장을 시사합니다.,,,,,"카카오 임원의 지역 정치권과의 협력은 직접적인 리스크는 아니지만, 향후 사업 확장 및 대관 측면에서 전략적 참고가 가능합니다.",gemini,91.0,direct_self_risk
82,"위성곤 당선인, 제주대 김일환·카카오 이재승 투톱 인수위 가동",제주환경일보,카카오,자사_및_계열사_이슈,자사_및_계열사_이슈,SELF_DIRECT_RISK,STRATEGIC_REFERENCE,,,other,인선/조직,AI 정책 컨트롤타워 인선/공백,5,1,1,카카오 이재승 부사장이 위성곤 제주지사 당선인의 인수위 투톱으로 참여하는 것은 지역 사회에서의 카카오의 영향력과 인적 네트워크 확장을 시사합니다.,,,,,"카카오 임원의 지역 정치권과의 협력은 직접적인 리스크는 아니지만, 향후 사업 확장 및 대관 측면에서 전략적 참고가 가능합니다.",gemini,90.0,direct_self_risk
61,"위성곤 당선인, 제주대 김일환·카카오 이재승 투입 인수위 가동",제주도민일보,카카오,자사_및_계열사_이슈,자사_및_계열사_이슈,SELF_DIRECT_RISK,STRATEGIC_REFERENCE,,,other,인선/조직,AI 정책 컨트롤타워 인선/공백,5,1,1,카카오 이재승 부사장이 위성곤 제주지사 당선인의 인수위 투톱으로 참여하는 것은 지역 사회에서의 카카오의 영향력과 인적 네트워크 확장을 시사합니다.,,,,,"카카오 임원의 지역 정치권과의 협력은 직접적인 리스크는 아니지만, 향후 사업 확장 및 대관 측면에서 전략적 참고가 가능합니다.",gemini,90.0,direct_self_risk
