kind,order,issue_id,category,priority,best_article_id,backup_article_ids,reason,issue_group,issue_family,internal_category,issue_score,titles
selected,1,I052,자사_및_계열사_이슈,4,1791,,v26: 카카오 직접 주체가 없어 자사 섹션 제외/재분류 / v26.2: overseas structural industry candidate,self_filler_reference:네이버 주주 되는 엔비디아 ai팩토리 구축 속도전,self_filler_reference,SELF_AFFILIATE_BUSINESS,618.5,네이버 주주 되는 엔비디아…AI팩토리 구축 속도전(종합)
selected,2,I062,자사_및_계열사_이슈,5,65,70,로컬 보조 라벨 / v26: 오늘 새 직접 사건·진전 / 로컬 보조 라벨,global_incident:platform_regulation:kakao:platform_operator_obligation,self_direct_risk,SELF_DIRECT_RISK,576.8,"2020~2024년 네이버·카카오 실적 추이 - *카카오의 경우 카카오모빌리티 회계기준을 순액법을 적용해 반영한 수치. 자료: 전자공시시스템 | 대구 수성구, 재산세 미납자에 카카오 알림톡 발송…납부기한 안내 서비스 시행"
selected,3,I002,정부_국회,5,885,"2225,1695",로컬 보조 라벨 / 로컬 보조 라벨 / v26.2: overseas structural industry candidate / v26.2: no central Korean public actor/action for Government section: no_public_actor_action_domain / v26.2: overseas structural industry candidate,금융권 AI 도입 가이드라인/모범사례,comp_domestic_ai_platform,COMPETITOR_AI_STRATEGY,670.5,"금융위 STO 가이드라인 임박…오늘 RWA 혁신 세미나 | KT '금융 AX' 전략…AI 도입 넘어 실행 단계로 | KT, 금융권 AX 가속…""AI 도입 성과 수치로 증명하겠다"""
selected,4,I005,정부_국회,5,1581,"1586,1750,2145,1748,2002,1850,2001,1776,2038",로컬 보조 라벨 / 로컬 보조 라벨 / v26.2: overseas structural industry candidate / 로컬 보조 라벨 / v26: 오늘 새 직접 사건·진전 / v26.2: no central Korean public actor/action for Government section: no_public_actor_action_domain / v26.2: overseas structural industry candidate / v26.2: no central Korean public actor/action for Government section: no_public_actor_action_domain,국가 AI 인프라/AIDC/GPU 정책,comp_domestic_ai_platform,COMPETITOR_AI_STRATEGY,667.0,"행정부엔 있고 입법부·사법부엔 없는 AI | 민형배 특별시장, '국가 NPU센터·AI 기반시설'... 정부예산 반영 건의 | 네이버, 14.7조원 AI 인프라 확보…엔비디아와 AI 팩토리 구축(종합)"
selected,5,I057,정부_국회,5,1287,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,comp_domestic_ai_platform:ai서머리 네이버 엔비디아 브룩필드서 100억 달러 유치 뉴엔ai 35억 규모 중기부 r d 선정,comp_domestic_ai_platform,COMPETITOR_AI_STRATEGY,605.5,"[AI서머리] 네이버, 엔비디아·브룩필드서 100억 달러 유치‧뉴엔AI, 35억 규모 중기부 R&D 선정"
selected,6,I003,경쟁사_해외이슈,4,1946,2007,로컬 보조 라벨 / v26.2: overseas structural industry candidate,comp_domestic_ai_platform:네이버 엔비디아와 2028년까지 200mw ai 팩토리 구축,comp_domestic_ai_platform,COMPETITOR_AI_STRATEGY,668.0,"네이버, 엔비디아와 2028년까지 200MW AI 팩토리 구축 | 네이버, 엔비디아와 2028년까지 200MW AI 팩토리 구축"
selected,7,I004,경쟁사_해외이슈,4,1851,1872,로컬 보조 라벨 / v26.2: overseas structural industry candidate,comp_domestic_ai_platform:네이버 주주 되는 엔비디아 ai팩토리 구축 속도전,comp_domestic_ai_platform,COMPETITOR_AI_STRATEGY,668.0,네이버 주주 되는 엔비디아…AI팩토리 구축 속도전(종합) | 네이버 주주 되는 엔비디아…AI팩토리 구축 속도전(종합)
selected,8,I006,경쟁사_해외이슈,4,1834,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,comp_domestic_ai_platform:네이버 엔비디아 대상 1 48조 유증 ai 팩토리에 투입 공시pick,comp_domestic_ai_platform,COMPETITOR_AI_STRATEGY,666.5,"네이버, 엔비디아 대상 1.48조 유증…AI 팩토리에 투입 [공시pick]"
selected,9,I007,경쟁사_해외이슈,4,1818,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,comp_domestic_ai_platform:네이버 엔비디아와 글로벌 ai 팩토리 구축 10억달러 유상증자도,comp_domestic_ai_platform,COMPETITOR_AI_STRATEGY,666.5,"[속보] 네이버, 엔비디아와 글로벌 AI 팩토리 구축…10억달러 유상증자도"
selected,10,I008,경쟁사_해외이슈,4,1762,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,comp_domestic_ai_platform:엔비디아와 ai 팩토리 구축하는 네이버 교보 전략 방향성 긍정적,comp_domestic_ai_platform,COMPETITOR_AI_STRATEGY,666.5,"엔비디아와 AI 팩토리 구축하는 네이버…교보證 ""전략 방향성 긍정적"""
selected,11,I059,정부_국회,4,822,"3817,525,578",v26.2: no central Korean public actor/action for Government section: no_public_actor_action_domain / v26.2: overseas structural industry candidate / 로컬 보조 라벨 / v26.2: overseas structural industry candidate,global_incident:digital_asset_policy:naver:vasp_aml_rulemaking,comp_domestic_strategy,COMPETITOR_AI_STRATEGY,602.0,"네이버·두나무 합병 걸림돌 완화···규제합리화위, 특금법 개정안 개선 권고[종합] | 네이버·두나무 합병 걸림돌 완화···규제합리화위, 특금법 개정안 개선 권고[종합] | '특금법 족쇄' 풀었지만...공정위 ""네이버·두나무 합병, 독과점 면밀 검토"""
selected,12,I064,자사_및_계열사_이슈,5,155,"448,1251,1249,1421,354,3764",로컬 보조 라벨 / v26.2: no central Korean public actor/action for Government section: foreign_public_policy / v26.2: overseas structural industry candidate / v26.2: no central Korean public actor/action for Government section: no_public_actor_action_domain,global_incident:platform_regulation:platform_sector:platform_regulation,government_ai_core_policy,GOV_AI_DIGITAL_POLICY,553.0,"익명이라 믿었던 카톡 오픈채팅, 개인정보 유출 통로 될 수도 [박용선 칼럼] | 후반기 과방위 진용 완성…AI 예산·허위조작정보 등 이슈로 | 뉴엔AI, 35억 규모 중기부 AI R&D 추진… 글로벌 K-뷰티 AI 플랫폼 개발 착수"
selected,13,I066,자사_및_계열사_이슈,5,53,,로컬 보조 라벨 / v26: 오늘 새 직접 사건·진전,self_direct_risk:외형 지킨 네이버 내실 다진 카카오 2분기 나란히 호실적 하반기 ai 진검승부,self_direct_risk,SELF_DIRECT_RISK,485.8,"외형 지킨 네이버ㆍ내실 다진 카카오, 2분기 나란히 호실적…하반기 AI 진검승부"
selected,14,I067,정부_국회,5,289,,로컬 보조 라벨,government_ai_core_policy:9500억달러 ai 협력 본격화 정부 글로벌 빅테크와 공급망 동맹 강화,government_ai_core_policy,GOV_AI_DIGITAL_POLICY,472.5,"9500억달러 AI 협력 본격화…정부, 글로벌 빅테크와 공급망 동맹 강화"
backup,1,I001,경쟁사_해외이슈,5,170,"1883,1905,158,581",로컬 보조 라벨 / 로컬 보조 라벨 / v26.2: overseas structural industry candidate / v26.2: no central Korean public actor/action for Government section: no_public_actor_action_domain / v26.2: overseas structural industry candidate,global_incident:platform_regulation:naver:platform_operator_obligation,comp_domestic_strategy,COMPETITOR_AI_STRATEGY,685.5,"[단독] 네이버의 두나무 인수 장애물 사라진다… 규합위, 특금법 시행령 개선 권고 | 네이버·두나무 합병 걸림돌 걷어냈다…특금법 시행령 '개선 권고' | | 네이버·두나무 합병 걸림돌 걷어냈다…특금법 시행령 '개선 권고'"
backup,2,I009,경쟁사_해외이슈,4,1813,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,comp_domestic_ai_platform:네이버 엔비디아에 1조 4809억원 유상증자 ai팩토리 200mw로 확대,comp_domestic_ai_platform,COMPETITOR_AI_STRATEGY,666.5,"네이버, 엔비디아에 1조 4809억원 유상증자…AI팩토리 200MW로 확대"
backup,3,I010,경쟁사_해외이슈,4,1877,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,comp_domestic_ai_platform:네이버 주가 주목 엔비디아와 ai 팩토리 공동 구축 1조원 자사주 소각,comp_domestic_ai_platform,COMPETITOR_AI_STRATEGY,666.5,네이버 주가 주목…엔비디아와 AI 팩토리 공동 구축·1조원 자사주 소각
backup,4,I011,경쟁사_해외이슈,4,1874,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,comp_domestic_ai_platform:네이버 엔비디아와 손잡고 ai 영토 확장 1조 4800억 규모 증자 단행,comp_domestic_ai_platform,COMPETITOR_AI_STRATEGY,666.5,"네이버, 엔비디아와 손잡고 AI 영토 확장... 1조 4800억 규모 증자 단행"
backup,5,I012,경쟁사_해외이슈,4,1871,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,comp_domestic_ai_platform:네이버 엔비디아에 1조4809억원 유상증자 ai 팩토리 구축 속도,comp_domestic_ai_platform,COMPETITOR_AI_STRATEGY,666.5,"네이버, 엔비디아에 1조4809억원 유상증자...“AI 팩토리 구축 속도”"
backup,6,I013,경쟁사_해외이슈,4,1787,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,comp_domestic_ai_platform:네이버 엔비디아 브룩필드와 14조 동맹 ai 팩토리 본격화,comp_domestic_ai_platform,COMPETITOR_AI_STRATEGY,666.5,"네이버, 엔비디아·브룩필드와 ‘14조 동맹’…AI 팩토리 본격화"
backup,7,I014,경쟁사_해외이슈,4,1770,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,comp_domestic_ai_platform:네이버 엔비디아 브룩필드 100억달러 투자 유치 ai팩토리 2027년 가동,comp_domestic_ai_platform,COMPETITOR_AI_STRATEGY,666.5,"네이버, 엔비디아·브룩필드 100억달러 투자 유치…AI팩토리 2027년 가동(종합)"
backup,8,I015,경쟁사_해외이슈,4,1833,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,comp_domestic_ai_platform:네이버 엔비디아와 2028년까지 200mw급 ai 팩토리 가동,comp_domestic_ai_platform,COMPETITOR_AI_STRATEGY,666.5,"네이버, 엔비디아와 2028년까지 200MW급 AI 팩토리 가동 - 머니투데이"
backup,9,I016,경쟁사_해외이슈,4,1755,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,comp_domestic_ai_platform:네이버 엔비디아서 10억달러 투자 유치 ai팩토리 사업 본격화,comp_domestic_ai_platform,COMPETITOR_AI_STRATEGY,666.5,"네이버, 엔비디아서 10억달러 투자 유치…AI팩토리 사업 본격화 - 머니투데이"
