id,원카테고리,JSON카테고리,검색어,기사제목,기사제목_정규화,언론사,정규언론사,게시일,본문요약,링크,수집채널,랭킹점수,중요도점수,사건태그,사건단계,주요주체,랭킹감점사유,정책규제의무,강제검토,강제검토사유,자사홍보성,이슈패밀리,코드힌트,오늘성점수,오늘성사유,기사유형,v26이벤트키,v26진행단계,v27_industry_ok,v27_industry_reason,v27_industry_score,v32_competitor_basis,v32_competitor_portfolio,v32_actor_group,랭킹원점수,편집신호,스토리버킷,전역사건키,전역사건기본키,Gemini카테고리,Gemini내부카테고리,Gemini이슈패밀리,Gemini이슈그룹,Gemini관련성,Gemini중요도,Gemini대외협력중요도,Gemini관련도,GeminiPR성,Gemini제외,Gemini판단사유,Gemini라벨소스,Gemini자사티어,Gemini정부티어,Gemini경쟁사티어,Gemini경쟁사범위,Gemini정책영향경로,Gemini경쟁시사점,Gemini중복그룹,Gemini이슈유형,v26_2_profile_reason,v32_weak_non_digital_gov,v26가드레일사유
2058,경쟁사/해외이슈,경쟁사_해외이슈,KT,KT-인천센터 ‘SMART-X LAB’ 14기 모집… 올해는 정보보안 스타트업,kt 인천센터 smart x lab 14기 모집 올해는 정보보안 스타트업,플래텀(Platum),플래텀(Platum),"Tue, 14 Jul 2026 02:01:32 GMT",KT-인천센터 ‘SMART-X LAB’ 14기 모집… 올해는 정보보안 스타트업 플래텀(Platum),https://news.google.com/rss/articles/CBMiSEFVX3lxTE12RnNfVUxRRW5XbEFvLXZ1QjRJWXpocDdnUmQtUXN4a2o1QkdGVXlsVUFLeXZDeDVlT0RRY04wVks2RU5JTnA1Ng?oc=5,google_rss_KT when:2d,334.0,25.0,"kim_beomsoo_trial,phishing_security,privacy_security_reliability",security_general,KT,,,,,,,general,24.0,published_today,direct_risk,event:KT:kim_beomsoo_trial+phishing_security,general,Y,"industry_basis_pass:actor=True,change=False,bridge=True",2,naver_telco_strategy_or_infra,Y,telco,334.0,privacy_security_reliability,competitor:security_reliability,,,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,comp_domestic_strategy,comp_domestic_strategy:kt 인천센터 smart x lab 14기 모집 올해는 정보보안 스타트업,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,4,5,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,,COMP_DOMESTIC_STRATEGY,domestic,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,comp_domestic_strategy:kt 인천센터 smart x lab 14기 모집 올해는 정보보안 스타트업,comp_domestic_strategy,,,
1975,경쟁사/해외이슈,경쟁사_해외이슈,SKT,독파모 SKT 정예팀에 SK AX·테크노매트릭스 합류,독파모 skt 정예팀에 sk ax 테크노매트릭스 합류,보안뉴스,보안뉴스,"Tue, 14 Jul 2026 01:41:00 GMT",독파모 SKT 정예팀에 SK AX·테크노매트릭스 합류 보안뉴스,https://news.google.com/rss/articles/CBMiaEFVX3lxTE5zc3JKb09id3ZRMVcwYXpNalg4ZjNFNzB0b0pFXzd5a2dQMmRUZDV0YXZxS2Mzd21qS21KUHUzUDVMYVFxUzk3YkRpRUZtWU5RRlQyNlFvQ0pkaWI0V0dXX2lVOXduZVBv?oc=5,google_rss_SKT when:2d,324.0,18.0,"phishing_security,privacy_security_reliability",security_general,SKT,,,,,,,general,24.0,published_today,direct_risk,event:SKT:phishing_security+privacy_security_reliability,general,Y,"industry_basis_pass:actor=True,change=False,bridge=True",2,naver_telco_strategy_or_infra,Y,telco,324.0,privacy_security_reliability,competitor:security_reliability,,,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,comp_domestic_ai_platform,KT 금융 AX/AI 인프라 전략,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,4,5,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,,COMP_DOMESTIC_AI_PLATFORM,domestic,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,KT 금융 AX/AI 인프라 전략,comp_domestic_ai_platform,,,
1983,경쟁사/해외이슈,경쟁사_해외이슈,SKT,"SKT, 독자 AI 파운데이션 모델 컨소시엄 확대…산업 AX 역량 강화",skt 독자 ai 파운데이션 모델 컨소시엄 확대 산업 ax 역량 강화,이로운넷,이로운넷,"Tue, 14 Jul 2026 00:49:17 GMT","SKT, 독자 AI 파운데이션 모델 컨소시엄 확대…산업 AX 역량 강화 이로운넷",https://news.google.com/rss/articles/CBMiZkFVX3lxTE11N04wX1BVcGJBblVvcUE0S2ZsS2NDOHVsbTU0SU9nT0pKTElISFlhazI3ZFpvcHJLSm1tMDhEM1lmY0lzSjg1Q0FSOF83NVRDWDNjbjVwcWNOMGtaeXdrSlpQbi1KZw?oc=5,google_rss_SKT when:2d,324.0,18.0,"ai_infrastructure_security,strategy_mna_governance",ai_infrastructure_security,SKT,,,,,,,general,24.0,published_today,business_change,event:SKT:ai_infrastructure_security+strategy_mna_governance,general,Y,"industry_basis_pass:actor=True,change=True,bridge=False",2,naver_telco_strategy_or_infra,Y,telco,324.0,"strategy_mna_governance,ai_infrastructure_security",competitor:strategy_mna,,,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,comp_domestic_ai_platform,KT 금융 AX/AI 인프라 전략,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,4,5,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,,COMP_DOMESTIC_AI_PLATFORM,domestic,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,KT 금융 AX/AI 인프라 전략,comp_domestic_ai_platform,,,
2705,경쟁사/해외이슈,경쟁사_해외이슈,메타,"SK텔레콤, 메타버스 플랫폼 '이프랜드' 공개",sk텔레콤 메타버스 플랫폼 이프랜드 공개,전자신문,전자신문,"Mon, 13 Jul 2026 01:18:34 GMT","SK텔레콤, 메타버스 플랫폼 '이프랜드' 공개 전자신문",https://news.google.com/rss/articles/CBMi8gRBVV95cUxOYlRiTFVqMGZFWjdqcUx2UUZoTlhRWEFnb1VkODk5Rm1fUU5qZ1I0bWNoR205eEk2S2RTbkg4TFh0UnpOQldaaEVyenAwR2djdnhNLUZQZm5jcVdYdXBPRzl3TmhiN3phbFl2VVU5bU9YX093My1GQU5oZU5ZRkVHN1NsM2tGeTFzYURwbVhZbkhUbC1GdzVBZXQ2dllMdG9rdDZiVVlndWItTENpRGE4QnVOTlVMZm5PSWhzVjVIWlZMNDhDdHFLVy0xbEFnTC0tNmJJbVpkNU5KU3ZsQWhBYVZkc1VOa1g3emNPTWp1QWtQSmVlVk00c09uQkZsSHJuUVZKUjFIYjF4TUh4TUdBbUlleXZ4UUFmS3BNR3dESi1HNEJzZkZ1SFNWUUZfT2RjYzlFYkJKWmxObXZhTk5TMHZGRGs3RS1La3pwQzRBUHB3b3poUVNuQzU5b2t2M091MkpNQ3loamNDYWhQM2NfMFBnZWRyRGRKSEFmOHduOWFCNTNaQnFoUm41TFoyTW56RldYbzBGTndyN2lRdzVXeVBFM3A3U0R1V0ZrV2hlMlhhNktpZ2VQbHZoMzlIMDhFN0I2bjhiZXJhQl9tSnpHcUJBU0lfemR2U3RESENQNG85ckg1bEFNSXMtQkV2NU5ZMmxBeEVHVThxWlZqSDlSQmNhcFN1Y3NMSGxYUDZoeVNiaUhScmFuWnBYeEEyaEVTY1hyZ1lzYnBqNk95anRESEhUSWtkTFdNdW5pRHFFeUpITjNuRllGX2tYMktSUTJ0R1JOcDVQbWRmTDlfSFM4V040VnZ4NldVRUJGWnN0OVc2UQ?oc=5,google_rss_메타 site:etnews.com when:2d,310.5,11.0,market_power_platform,market_power_platform,"SKT,메타",,,,,,,general,14.0,published_yesterday,general,global_incident:platform_regulation:meta:platform_regulation,rumor_or_report,Y,"industry_basis_pass:actor=True,change=True,bridge=True",3,naver_telco_strategy_or_infra,Y,telco,310.5,market_power_platform,competitor:regulatory_enforcement,global_incident:platform_regulation:meta:platform_regulation:announcement,global_incident:platform_regulation:meta:platform_regulation,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,comp_domestic_strategy,global_incident:platform_regulation:meta:platform_regulation,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,4,5,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,,COMP_DOMESTIC_STRATEGY,mixed,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,global_incident:platform_regulation:meta:platform_regulation,comp_domestic_strategy,,,
2119,경쟁사/해외이슈,경쟁사_해외이슈,KT,"[안갯속 KT AI ②] 박윤영號, 'MS 종속' 논란 책임론·해법 찾기 골치",안갯속 kt ai 박윤영 ms 종속 논란 책임론 해법 찾기 골치,1코노미뉴스,1코노미뉴스,"Mon, 13 Jul 2026 08:13:01 GMT","[안갯속 KT AI ②] 박윤영號, 'MS 종속' 논란 책임론·해법 찾기 골치 1코노미뉴스",https://news.google.com/rss/articles/CBMicEFVX3lxTE1Ka01TZzNLR3FXeXVBclc2N3dpLWNUTGlLY0tlV292dWtzc05xLWNaWjFRTVlsSUlpN1F1aEZjMzZqMzJ1VUQyYTdqY3VYQjNCdDhEb1dITjNMVDFXblMweEFyX3NGWkwya25ZODljZG0?oc=5,google_rss_KT when:2d,307.5,11.0,ai_infrastructure_security,ai_infrastructure_security,KT,,,,,,,general,14.0,published_yesterday,business_change,event:KT:ai_infrastructure_security,general,Y,"industry_basis_pass:actor=True,change=False,bridge=True",2,naver_telco_strategy_or_infra,Y,telco,307.5,ai_infrastructure_security,competitor:ai_strategy,,,경쟁사_해외이슈,COMPETITOR_PLATFORM_RISK,comp_domestic_direct_risk,KT 금융 AX/AI 인프라 전략,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,4,5,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,,COMP_DOMESTIC_DIRECT_RISK,mixed,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,KT 금융 AX/AI 인프라 전략,comp_domestic_direct_risk,,,
2607,경쟁사/해외이슈,경쟁사_해외이슈,MS,"SK텔레콤-MS, 엑스박스 클라우드 게임 9월 15일 한국 출시",sk텔레콤 ms 엑스박스 클라우드 게임 9월 15일 한국 출시,전자신문,전자신문,"Sun, 12 Jul 2026 21:18:15 GMT","SK텔레콤-MS, 엑스박스 클라우드 게임 9월 15일 한국 출시 전자신문",https://news.google.com/rss/articles/CBMilgVBVV95cUxNVjB6TzBOUVNmTEl0c181UWc1dDhDX2NWeHVIWTVCeE9KUkhYd2NMcXEwZ0ptaEthTGw4WS1LNlpMZl8wd0RmNnFnVXpIZk9rMEVGNFBKUk1FMHZ5NHVtRmpUcVE0eEsyZVctRndYZEYxdHV4T2pHdDU0blFTVVUwT1lndlpsd2Z4YzVENDNJNE5zSW5WdDFqTGtjMlVscl9MSUxFNFlTM0hSbGdzTnJWR1V5MjRXOGVGb05rUkFGazl4U0hGRUVVR1lWNzl2ZmpCREIwbHlrWXhoSUcwZnNsb2VmcUE2Q3hEVC05dTFjSTVyUHpmVTFDbDVzZUVNa2xpc2ljdnpNRkdTMGJ3cUZ3LWh5ekJMWHh2X1Fya3h1dHhGNERaUWdnU015cDY0c0hKTFBGMFdUOExnVmk3OW1LQ1k3S3M0WkpBeDM2YnZFeFlWb2xzcGFGU2VsMjFUd2g1dHlsYkJYMU1DdU0yV1JxcXJMQ2tVS0diZmdRRUN2aEJxSEprQ21SdkdFaEd0bEZHVjN6M0ZscjNFS1ZiRGZXWlF2N055enBKZC1ZWnRpXzIxWE94aTF2Si1EQVJWSW1uMllrZTZfd0ZnNmlzd2I5WC15b3pTUWtiQTFfQ240WnVCTkhTdzdpbS1Ud1lvYUZ0Tkx3VXlXeVdsdV9XSk53d1J2cVE1OUlmNUhHNTNkQzB6X1R6ZlU0ZjFfd1B0NW03akg3MVdjWm12MWVyM0w5Ql9hMjRVczE2WWpIYkp0NkRYRHpMdkpYbmo0dG1QZ3V4cWZCUF9CTjdXWjExeXhiMXVqQ01aZzdfWDNfYkpaZUNTTUdqRjdJa0N2S0tMT3ZYZHlrQmpLOW9DS1g3OXF4aHlVWnpTdw?oc=5,google_rss_MS site:etnews.com when:2d,300.5,4.0,,,SKT,,,,,,,general,14.0,published_yesterday,general,,general,Y,"industry_basis_pass:actor=True,change=True,bridge=True",3,naver_telco_strategy_or_infra,Y,telco,300.5,,,,,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,comp_domestic_ai_platform,comp_domestic_ai_platform:sk텔레콤 ms 엑스박스 클라우드 게임 9월 15일 한국 출시,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,4,5,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,,COMP_DOMESTIC_AI_PLATFORM,mixed,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,comp_domestic_ai_platform:sk텔레콤 ms 엑스박스 클라우드 게임 9월 15일 한국 출시,comp_domestic_ai_platform,,,
3081,산업동향,산업동향,플랫폼 시장점유율,"삼성카드, '모니모·KTX' 양날개 달고 디지털·보안 혁신 드라이브",삼성카드 모니모 ktx 양날개 달고 디지털 보안 혁신 드라이브,스마트비즈,스마트비즈,"Mon, 13 Jul 2026 07:42:35 GMT","삼성카드, '모니모·KTX' 양날개 달고 디지털·보안 혁신 드라이브 스마트비즈",https://news.google.com/rss/articles/CBMibEFVX3lxTE1admQwYU5UU0Q1Mmp6bEJfREhUcU5CUGZEWU5STndmdFh6VWxoMzNsLURnelA1bDJLNGtWYThaUkt4V0Z3QW9PTEcyUW1tMTNfQ1hXal9vZXFWVlpySV9QU1FjWmxuakFKRzFoSw?oc=5,google_rss_플랫폼 시장점유율 when:2d,293.5,32.0,"phishing_security,privacy_security_reliability",security_general,,v43_not_structural_industry,,,,,,general,14.0,published_yesterday,direct_risk,,general,Y,"industry_basis_pass:actor=True,change=False,bridge=True",2,naver_telco_strategy_or_infra,Y,global,293.5,"privacy_security_reliability,market_power_platform",competitor:security_reliability,,,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,comp_domestic_strategy,comp_domestic_strategy:삼성카드 모니모 ktx 양날개 달고 디지털 보안 혁신 드라이브,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,4,5,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,,COMP_DOMESTIC_STRATEGY,domestic,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,comp_domestic_strategy:삼성카드 모니모 ktx 양날개 달고 디지털 보안 혁신 드라이브,comp_domestic_strategy,,,
1957,경쟁사/해외이슈,경쟁사_해외이슈,네이버,"모바(MOVA), 업계 최초 ‘맥시리치X’ 기술 적용한 로봇청소기 ‘V70 울트라 컴플리트’ 출시",모바 mova 업계 최초 맥시리치x 기술 적용한 로봇청소기 v70 울트라 컴플리트 출시,edaily.co.kr,이데일리,"Mon, 13 Jul 2026 00:20:03 GMT","모바(MOVA), 업계 최초 ‘맥시리치X’ 기술 적용한 로봇청소기 ‘V70 울트라 컴플리트’ 출시 edaily.co.kr",https://news.google.com/rss/articles/CBMigAFBVV95cUxQUm1Ha0VzN08wT2VEc1BkUmJBYnlMdVdVYTdqdmt2QkVuTTdZUWNmU0o3SFNldWl5ZXpKOWFLUUREamNUWFVZRFI4cG5TQ3ZLdWFpYmRKQkk3Vm83UFZnMm9pMzhENUdzSGMxLWozaFkxNVBQR1VoM3BJQXpWZk5TMA?oc=5,google_rss_네이버 site:edaily.co.kr when:2d,264.5,65.0,ai_infrastructure_security,ai_infrastructure_security,,v43_not_true_competitor;brand_not_in_title,Y,,,,competitor:platform_obligation,platform_operator_obligation,14.0,published_yesterday,general,global_incident:platform_regulation:platform_sector:platform_operator_obligation,action_started,,"weak_form_without_full_basis:actor=False,change=True,bridge=False",1,naver_telco_strategy_or_infra,Y,naver,264.5,"ai_infrastructure_security,platform_obligation",competitor:platform_obligation,global_incident:platform_regulation:platform_sector:platform_operator_obligation:general,global_incident:platform_regulation:platform_sector:platform_operator_obligation,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,comp_domestic_ai_platform,global_incident:platform_regulation:platform_sector:platform_operator_obligation,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,4,5,,,로컬 보조 라벨,local_low_confidence,,,COMP_DOMESTIC_AI_PLATFORM,domestic,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,global_incident:platform_regulation:platform_sector:platform_operator_obligation,comp_domestic_ai_platform,,,
520,정부/국회,정부_국회,과학기술정보통신부,"개보위, ‘개인정보 유출’ KT 과징금 내주 결론…과징금 규모 ‘촉각’",개보위 개인정보 유출 kt 과징금 내주 결론 과징금 규모 촉각,헤럴드경제,헤럴드경제,"Mon, 13 Jul 2026 07:19:47 GMT","개보위, ‘개인정보 유출’ KT 과징금 내주 결론…과징금 규모 ‘촉각’ 헤럴드경제",https://news.google.com/rss/articles/CBMiVkFVX3lxTFBGel8yMnBMZ3dlZDVIUmRSbXYwWTE2bmhxU3E5TDY4Q1N6aGFNQTlDRHJqN3lNZnhLT05WRnRvLUxBcngwV0RnQmFLZURUWGhwRzByZ0J3?oc=5,google_rss_과학기술정보통신부 해킹 when:2d,258.6,150.0,"antitrust_platform,legal_regulatory_enforcement,phishing_security,privacy_security_reliability",antitrust_general,KT,,Y,,,,government:platform_obligation,platform_operator_obligation,14.0,published_yesterday,official_action,privacy_security:kt:data_leak,penalty_or_sanction,Y,"industry_basis_pass:actor=True,change=False,bridge=True",2,naver_telco_strategy_or_infra,Y,telco,258.6,"legal_regulatory_enforcement,privacy_security_reliability",government:platform_obligation,global_incident:platform_regulation:kt:platform_data_protection_obligation:sanction_penalty,global_incident:platform_regulation:kt:platform_data_protection_obligation,경쟁사_해외이슈,COMPETITOR_PLATFORM_RISK,comp_domestic_direct_risk,global_incident:platform_regulation:kt:platform_data_protection_obligation,카카오 플랫폼·AI·대관 대응 경로에 영향을 줄 수 있는 정책/감독 이슈,4,5,4,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,GOV_REGULATORY_ENFORCEMENT,COMP_DOMESTIC_DIRECT_RISK,domestic,카카오 플랫폼·AI·대관 대응 경로에 영향을 줄 수 있는 정책/감독 이슈,카카오 플랫폼·AI·대관 대응 경로에 영향을 줄 수 있는 정책/감독 이슈,global_incident:platform_regulation:kt:platform_data_protection_obligation,comp_domestic_direct_risk,,,
485,정부/국회,정부_국회,과학기술정보통신부,"개보위, ‘개인정보 유출’ KT 과징금 내주 결론…과징금 규모 ‘촉각’",개보위 개인정보 유출 kt 과징금 내주 결론 과징금 규모 촉각,v.daum.net,v.daum.net,"Mon, 13 Jul 2026 07:22:12 GMT","개보위, ‘개인정보 유출’ KT 과징금 내주 결론…과징금 규모 ‘촉각’ v.daum.net",https://news.google.com/rss/articles/CBMiVEFVX3lxTE5JOVlmSFNYYmtuVURZMU9zSUJyRENNcV8wMHJ5U1lJQkxkM0lfTzZmV1ZVZmpEaUhxM1hxX2FZSnI3OV8xRUpZR1F6TE5yNHQ3MzN6Wg?oc=5,google_rss_과학기술정보통신부 과징금 when:2d,255.6,150.0,"antitrust_platform,legal_regulatory_enforcement,phishing_security,privacy_security_reliability",antitrust_general,KT,,Y,,,,government:platform_obligation,platform_operator_obligation,14.0,published_yesterday,official_action,privacy_security:kt:data_leak,penalty_or_sanction,Y,"industry_basis_pass:actor=True,change=False,bridge=True",2,naver_telco_strategy_or_infra,Y,telco,255.6,"legal_regulatory_enforcement,privacy_security_reliability",government:platform_obligation,global_incident:platform_regulation:kt:platform_data_protection_obligation:sanction_penalty,global_incident:platform_regulation:kt:platform_data_protection_obligation,정부_국회,SELF_AFFILIATE_BUSINESS,self_filler_reference,global_incident:platform_regulation:kt:platform_data_protection_obligation,카카오 플랫폼·AI·대관 대응 경로에 영향을 줄 수 있는 정책/감독 이슈,2,2,4,,,v26: 카카오 직접 주체가 없어 자사 섹션 제외/재분류,local_low_confidence,OFF_TOPIC,GOV_REGULATORY_ENFORCEMENT,COMP_DOMESTIC_DIRECT_RISK,domestic,카카오 플랫폼·AI·대관 대응 경로에 영향을 줄 수 있는 정책/감독 이슈,카카오 플랫폼·AI·대관 대응 경로에 영향을 줄 수 있는 정책/감독 이슈,global_incident:platform_regulation:kt:platform_data_protection_obligation,self_filler_reference,,,
