id,원카테고리,JSON카테고리,검색어,기사제목,기사제목_정규화,언론사,정규언론사,게시일,본문요약,링크,수집채널,랭킹점수,중요도점수,사건태그,사건단계,주요주체,랭킹감점사유,정책규제의무,강제검토,강제검토사유,자사홍보성,이슈패밀리,코드힌트,랭킹원점수,편집신호,스토리버킷,전역사건키,전역사건기본키,Gemini카테고리,Gemini내부카테고리,Gemini이슈패밀리,Gemini이슈그룹,Gemini관련성,Gemini중요도,Gemini대외협력중요도,Gemini관련도,GeminiPR성,Gemini제외,Gemini판단사유,Gemini라벨소스,Gemini자사티어,Gemini정부티어,Gemini경쟁사티어,Gemini경쟁사범위,Gemini정책영향경로,Gemini경쟁시사점,Gemini중복그룹,Gemini이슈유형
4,자사 및 계열사 이슈,자사_및_계열사_이슈,카카오,카카오 파업 현실화·셀트리온 첫 노조 출범,카카오 파업 현실화 셀트리온 첫 노조 출범,시사뉴스,시사뉴스,"Mon, 08 Jun 2026 02:03:15 GMT",카카오 파업 현실화·셀트리온 첫 노조 출범 시사뉴스,https://news.google.com/rss/articles/CBMiY0FVX3lxTE9JM01PUVp3V2wzaWZibmZPNFhjUmVna2NPVmZyQllhQ0R3RlM2cGpMN3EzTW5WU282WHlseXhVa3VtS3Q1QWdGcHR1N3g2Q3FrOV9YZUhlUGxYTVFLMG5GVFVmbw?oc=5,google_rss_카카오 when:1d,97.0,89.5,"labor_dispute,labor_negotiation",labor_general,카카오,,,Y,must_review:self_strict:labor_strike:labor_negotiation,,,direct_self_risk,97.0,labor_negotiation,self:labor_strike,global_incident:labor_ir:kakao:strike_negotiation:conflict_escalation,global_incident:labor_ir:kakao:strike_negotiation,자사_및_계열사_이슈,SELF_DIRECT_RISK,노동/파업,카카오 노조 임단협/파업 및 내부 갈등,카카오 노조가 6월 10일 4시간 부분 파업을 예고하여 서비스 운영 및 대외 이미지에 영향을 줄 수 있습니다.,1,1,1,,,카카오 노조의 파업 예고는 경영진의 즉각적인 인지와 대응이 필요한 직접적인 리스크입니다.,gemini,DIRECT_RISK,,,other,,,카카오 노조 임단협/파업 및 내부 갈등,노동/파업
3,자사 및 계열사 이슈,자사_및_계열사_이슈,카카오,[기자수첩] 명분만으론 부족한 카카오의 첫 파업,기자수첩 명분만으론 부족한 카카오의 첫 파업,딜사이트,딜사이트,"Sun, 07 Jun 2026 22:15:12 GMT",[기자수첩] 명분만으론 부족한 카카오의 첫 파업 딜사이트,https://news.google.com/rss/articles/CBMiT0FVX3lxTE9MVnpITmZtcDNITl9jQ3lRRnBCejVZQUswN09rU1NUeU1PM3dscFk3N1pSbnR3Ym45UXhUWW5xaU5KZUt2TUhsbk5yWllJMWc?oc=5,google_rss_카카오 when:1d,97.0,86.5,"labor_dispute,labor_negotiation",labor_general,카카오,,,Y,must_review:self_strict:labor_strike:labor_negotiation,,,direct_self_risk,97.0,labor_negotiation,self:labor_strike,global_incident:labor_ir:kakao:strike_negotiation:general,global_incident:labor_ir:kakao:strike_negotiation,자사_및_계열사_이슈,SELF_DIRECT_RISK,self_labor,카카오 노조 임단협/파업 및 내부 갈등,카카오 또는 계열사에 직접 발생한 외부 대응 필요 이슈,5,5,5,,,로컬 보조 라벨,local,DIRECT_RISK,,,other,,,카카오 노조 임단협/파업 및 내부 갈등,self_labor
73,자사 및 계열사 이슈,자사_및_계열사_이슈,카카오,"[이슈] 카카오노조, '엑스엘게임즈' 희망퇴직에 반발하며 파업 예고",이슈 카카오노조 엑스엘게임즈 희망퇴직에 반발하며 파업 예고,인벤,인벤,"Sun, 07 Jun 2026 19:37:15 GMT","[이슈] 카카오노조, '엑스엘게임즈' 희망퇴직에 반발하며 파업 예고 인벤",https://news.google.com/rss/articles/CBMibkFVX3lxTFB1MUhnOVRaQ09sYWgxNUNrbEU2dHoteVd2aW1heURIamJOcUpyajBqNHNFNmVoSWFMVnpDLVAyZXFzQlhSNmtDcksxczc5d3l6cU1fMFRwLVdMQ1BxYlZKNXh3OXhFY3lHZzFCQTJB?oc=5,google_rss_카카오 when:1d,95.0,89.5,"labor_dispute,labor_negotiation",labor_strike_action,카카오,,,Y,must_review:self_strict:labor_strike:labor_negotiation,,,direct_self_risk,95.0,labor_negotiation,self:labor_strike,global_incident:labor_ir:kakao:strike_negotiation:conflict_escalation,global_incident:labor_ir:kakao:strike_negotiation,자사_및_계열사_이슈,SELF_DIRECT_RISK,노동/파업,카카오 노조 임단협/파업 및 내부 갈등,"엑스엘게임즈의 희망퇴직에 대한 카카오 노조의 반발은 카카오 전체의 노동 이슈를 복합적으로 보여주며, 파업 강도 및 시위에 영향을 줄 수 있습니다.",1,1,1,,,"카카오 노조의 파업과 연계된 계열사 이슈로, 직접적인 리스크로 판단됩니다.",gemini,DIRECT_RISK,,,other,,,카카오 노조 임단협/파업 및 내부 갈등,노동/파업
56,자사 및 계열사 이슈,자사_및_계열사_이슈,카카오,"""정신아 대표도 리더십 실패""…첫 파업 앞둔 카카오 노조, 압박 수위↑",정신아 대표도 리더십 실패 첫 파업 앞둔 카카오 노조 압박 수위,네이트,네이트,"Sun, 07 Jun 2026 15:03:00 GMT","""정신아 대표도 리더십 실패""…첫 파업 앞둔 카카오 노조, 압박 수위↑ 네이트",https://news.google.com/rss/articles/CBMiU0FVX3lxTE1sbXFzSER5aVI4dWN0d3BlbVc2ZWMtckxTOGJadmh6MTJEcElGUVlFWWU2WVMwdGJVcG02ZU94TjNhdXVaVG9Qa1prYnR1Qmh4d2JZ?oc=5,google_rss_카카오 when:1d,95.0,89.5,"labor_dispute,labor_negotiation",labor_general,카카오,,,Y,must_review:self_strict:labor_strike:labor_negotiation,,,direct_self_risk,95.0,labor_negotiation,self:labor_strike,global_incident:labor_ir:kakao:strike_negotiation:conflict_escalation,global_incident:labor_ir:kakao:strike_negotiation,자사_및_계열사_이슈,SELF_DIRECT_RISK,노동/파업,카카오 노조 임단협/파업 및 내부 갈등,카카오 노조가 정신아 대표의 리더십 실패를 언급하며 압박 수위를 높이는 것은 파업의 명분과 파급력에 영향을 미칠 수 있습니다.,1,1,1,,,"카카오 노조의 파업 관련 직접적인 비판과 압박 내용으로, 경영진의 인지가 필요한 사안입니다.",gemini,DIRECT_RISK,,,other,,,카카오 노조 임단협/파업 및 내부 갈등,노동/파업
33,자사 및 계열사 이슈,자사_및_계열사_이슈,카카오,"""정신아 대표도 리더십 실패""…첫 파업 앞둔 카카오 노조, 압박 수위↑",정신아 대표도 리더십 실패 첫 파업 앞둔 카카오 노조 압박 수위,v.daum.net,v.daum.net,"Sun, 07 Jun 2026 15:02:47 GMT","""정신아 대표도 리더십 실패""…첫 파업 앞둔 카카오 노조, 압박 수위↑ v.daum.net",https://news.google.com/rss/articles/CBMiVEFVX3lxTFBTenV0NjhFS3dKOW1VTmVwQ3Njc3BueGhrc2hCUnlIQTFTNHhQZHNLQ1VfVGttN3lsbnR4Z013UlJMb2IwWTVLWncxQ0pXX0lXSGRuTw?oc=5,google_rss_카카오 when:1d,95.0,89.5,"labor_dispute,labor_negotiation",labor_general,카카오,,,Y,must_review:self_strict:labor_strike:labor_negotiation,,,direct_self_risk,95.0,labor_negotiation,self:labor_strike,global_incident:labor_ir:kakao:strike_negotiation:conflict_escalation,global_incident:labor_ir:kakao:strike_negotiation,자사_및_계열사_이슈,SELF_DIRECT_RISK,노동/파업,카카오 노조 임단협/파업 및 내부 갈등,카카오 노조가 정신아 대표의 리더십 실패를 언급하며 압박 수위를 높이는 것은 파업의 명분과 파급력에 영향을 미칠 수 있습니다.,1,1,1,,,"카카오 노조의 파업 관련 직접적인 비판과 압박 내용으로, 경영진의 인지가 필요한 사안입니다.",gemini,DIRECT_RISK,,,other,,,카카오 노조 임단협/파업 및 내부 갈등,노동/파업
39,자사 및 계열사 이슈,자사_및_계열사_이슈,카카오,"""정신아 대표도 리더십 실패""…첫 파업 앞둔 카카오 노조, 압박 수위↑",정신아 대표도 리더십 실패 첫 파업 앞둔 카카오 노조 압박 수위,더팩트,더팩트,"Sun, 07 Jun 2026 15:00:02 GMT","""정신아 대표도 리더십 실패""…첫 파업 앞둔 카카오 노조, 압박 수위↑ 더팩트",https://news.google.com/rss/articles/CBMiWkFVX3lxTE42WWFFaHZjZnVBYW43Vl9FSUVtcUpUeTRTd3l1bzZKbWtBVTZJSEE2M2RaXzZTbUhrNTUtakl5RF8wNzNIRWJCRnotVW4zenVSSVdTMHdKUGNsUdIBVEFVX3lxTFBpZjR4eWprdmlrTWVsSU00Q2wtTXVqNXdidGlCdkYwMG80VW94dUozSFNMUUdFMm5XcUJzNlctb20xSTVNR0x4NlNaZmxpeVFQLXhjNA?oc=5,google_rss_카카오 when:1d,95.0,89.5,"labor_dispute,labor_negotiation",labor_general,카카오,,,Y,must_review:self_strict:labor_strike:labor_negotiation,,,direct_self_risk,95.0,labor_negotiation,self:labor_strike,global_incident:labor_ir:kakao:strike_negotiation:conflict_escalation,global_incident:labor_ir:kakao:strike_negotiation,자사_및_계열사_이슈,SELF_DIRECT_RISK,노동/파업,카카오 노조 임단협/파업 및 내부 갈등,카카오 노조가 정신아 대표의 리더십 실패를 언급하며 압박 수위를 높이는 것은 파업의 명분과 파급력에 영향을 미칠 수 있습니다.,1,1,1,,,"카카오 노조의 파업 관련 직접적인 비판과 압박 내용으로, 경영진의 인지가 필요한 사안입니다.",gemini,DIRECT_RISK,,,other,,,카카오 노조 임단협/파업 및 내부 갈등,노동/파업
10,자사 및 계열사 이슈,자사_및_계열사_이슈,카카오,제주대 김일환·카카오 이재승 위성곤 당선인 인수위 가동,제주대 김일환 카카오 이재승 위성곤 당선인 인수위 가동,서귀포신문,서귀포신문,"Mon, 08 Jun 2026 00:44:37 GMT",제주대 김일환·카카오 이재승 위성곤 당선인 인수위 가동 서귀포신문,https://news.google.com/rss/articles/CBMibEFVX3lxTFA1M3dwRXdYYWR4QVdyWXdHWHBCLVBYekdjUGFEb1pFWWxHVE5Nbno1MjJqbmVuMURqemt3RGdmTF9GdFdqcU1rNElBaHZKLVM3THBWT3AtTGNTcnNrbUdzNEtudmxKZWpaVUpaUQ?oc=5,google_rss_카카오 when:1d,94.0,77.5,strategy_mna_governance,strategy_mna_governance,카카오,,,Y,must_review:self_strict:strategy_mna:strategy_mna_governance,,,direct_self_risk,94.0,strategy_mna_governance,self:strategy_mna,global_incident:mna_capital:kakao:mna_capital:general,global_incident:mna_capital:kakao:mna_capital,자사_및_계열사_이슈,SELF_DIRECT_RISK,인선/조직,AI 정책 컨트롤타워 인선/공백,카카오 이재승 부사장이 위성곤 제주지사 당선인의 인수위 투톱으로 참여하는 것은 지역 사회에서의 카카오의 영향력과 인적 네트워크 확장을 시사합니다.,5,1,1,,,"카카오 임원의 지역 정치권과의 협력은 직접적인 리스크는 아니지만, 향후 사업 확장 및 대관 측면에서 전략적 참고가 가능합니다.",gemini,STRATEGIC_REFERENCE,,,other,,,AI 정책 컨트롤타워 인선/공백,인선/조직
81,자사 및 계열사 이슈,자사_및_계열사_이슈,카카오,엔비디아 업은 네이버 웃고…파업 리스크 카카오 울고,엔비디아 업은 네이버 웃고 파업 리스크 카카오 울고,메트로신문,메트로신문,"Sun, 07 Jun 2026 05:14:02 GMT",엔비디아 업은 네이버 웃고…파업 리스크 카카오 울고 메트로신문,https://news.google.com/rss/articles/CBMiYEFVX3lxTE1mMENWdUM4RV8tV1dEUURKOWkxT0JfbUt0WGsxM2x0NVMzZ1NJMjMyR05oeDljcloyNEhQS2xTazBLVmZjb25MdkRNUnFkUUVyTlVrY1VnVTVmLVdRdV8yZA?oc=5,google_rss_카카오 노조 when:1d,93.0,89.0,"labor_dispute,labor_negotiation",labor_general,"네이버,카카오",,,Y,must_review:self_strict:labor_strike:labor_negotiation,,,direct_self_risk,93.0,labor_negotiation,self:labor_strike,global_incident:labor_ir:kakao:strike_negotiation:general,global_incident:labor_ir:kakao:strike_negotiation,경쟁사_해외이슈,SELF_DIRECT_RISK,AI/파트너십,카카오 노조 임단협/파업 및 내부 갈등,네이버가 엔비디아와의 협력을 통해 AI 데이터센터 사업에 속도를 내는 것은 카카오의 AI 인프라 경쟁력 확보 노력에 전략적 참고가 될 수 있습니다.,1,1,1,,,국내 주요 경쟁사의 AI 인프라 강화 전략은 카카오의 AI 사업 경쟁력에 직접적인 영향을 미칠 수 있습니다.,gemini,DIRECT_RISK,,COMP_DOMESTIC_AI_PLATFORM,domestic,,국내 경쟁사인 네이버가 AI 인프라 분야에서 엔비디아와 같은 글로벌 선도 기업과 협력하며 경쟁 우위를 확보하려는 움직임을 보이고 있습니다.,카카오 노조 임단협/파업 및 내부 갈등,AI/파트너십
64,자사 및 계열사 이슈,자사_및_계열사_이슈,카카오,위성곤 제주지사 인수위 '김일환 전 총장·이재승 카카오 부사장' 투톱 체제,위성곤 제주지사 인수위 김일환 전 총장 이재승 카카오 부사장 투톱 체제,뉴스1,뉴스1,"Sun, 07 Jun 2026 02:52:54 GMT",위성곤 제주지사 인수위 '김일환 전 총장·이재승 카카오 부사장' 투톱 체제 뉴스1,https://news.google.com/rss/articles/CBMiUEFVX3lxTE5iemZvVTlQZHNHeFZlbzF5elRuYWZxS2hVU1R0TDlsendaaTdqNTN1RU5HTTE5LXE2UElzdXdaWDY2ekFSQVIxaGxuRGtpSFVW?oc=5,google_rss_카카오 when:1d,91.0,77.5,strategy_mna_governance,strategy_mna_governance,카카오,,,Y,must_review:self_strict:strategy_mna:strategy_mna_governance,,,direct_self_risk,91.0,strategy_mna_governance,self:strategy_mna,global_incident:mna_capital:kakao:mna_capital:general,global_incident:mna_capital:kakao:mna_capital,자사_및_계열사_이슈,SELF_DIRECT_RISK,인선/조직,AI 정책 컨트롤타워 인선/공백,카카오 이재승 부사장이 위성곤 제주지사 당선인의 인수위 투톱으로 참여하는 것은 지역 사회에서의 카카오의 영향력과 인적 네트워크 확장을 시사합니다.,5,1,1,,,"카카오 임원의 지역 정치권과의 협력은 직접적인 리스크는 아니지만, 향후 사업 확장 및 대관 측면에서 전략적 참고가 가능합니다.",gemini,STRATEGIC_REFERENCE,,,other,,,AI 정책 컨트롤타워 인선/공백,인선/조직
82,자사 및 계열사 이슈,자사_및_계열사_이슈,카카오,"위성곤 당선인, 제주대 김일환·카카오 이재승 투톱 인수위 가동",위성곤 당선인 제주대 김일환 카카오 이재승 투톱 인수위 가동,제주환경일보,제주환경일보,"Sun, 07 Jun 2026 12:22:21 GMT","위성곤 당선인, 제주대 김일환·카카오 이재승 투톱 인수위 가동 제주환경일보",https://news.google.com/rss/articles/CBMiaEFVX3lxTE1RdTctRFRCS3YwTDViVzU2MFgxWTJuS1hvTEZ0M3A5V3lGRzVyQ3ZvZjR5SVZIWTVHXzNsUDdZYUpPLS1qdzllUllVVC05ak5CWDRvb2hXOWVhNUwzTTk3Ulg1cmV2Z2FQ?oc=5,google_rss_카카오 매각 when:1d,90.0,77.5,strategy_mna_governance,strategy_mna_governance,카카오,,,Y,must_review:self_strict:strategy_mna:strategy_mna_governance,,,direct_self_risk,90.0,strategy_mna_governance,self:strategy_mna,global_incident:mna_capital:kakao:mna_capital:general,global_incident:mna_capital:kakao:mna_capital,자사_및_계열사_이슈,SELF_DIRECT_RISK,인선/조직,AI 정책 컨트롤타워 인선/공백,카카오 이재승 부사장이 위성곤 제주지사 당선인의 인수위 투톱으로 참여하는 것은 지역 사회에서의 카카오의 영향력과 인적 네트워크 확장을 시사합니다.,5,1,1,,,"카카오 임원의 지역 정치권과의 협력은 직접적인 리스크는 아니지만, 향후 사업 확장 및 대관 측면에서 전략적 참고가 가능합니다.",gemini,STRATEGIC_REFERENCE,,,other,,,AI 정책 컨트롤타워 인선/공백,인선/조직
