date,issue_id,issue_group,issue_family,category,priority,top_title,top_url,selected,issue_hash
2026.6.5,I001,국가 AI 인프라/AIDC/GPU 정책,AI 인프라 및 정책,경쟁사_해외이슈,4,,,TRUE,국가 ai 인프라 aidc gpu 정책
2026.6.5,I002,카카오게임즈 최대주주 변경 및 공동대표 체제,경영권/인선,자사_및_계열사_이슈,5,,,TRUE,카카오게임즈 최대주주 변경 및 공동대표 체제
2026.6.5,I004,가상자산 이전거래/AML 규제 조정,가상자산 규제 완화,정부_국회,5,,,TRUE,가상자산 이전거래 aml 규제 조정
2026.6.5,I006,금융권 AI 도입 가이드라인/모범사례,AI 도입 논의,정부_국회,5,,,TRUE,금융권 ai 도입 가이드라인 모범사례
2026.6.5,I008,네이버페이 앱 장애/복구,서비스_장애,경쟁사_해외이슈,4,,,TRUE,네이버페이 앱 장애 복구
2026.6.5,I015,네이버_AI_검색_기능_확대,AI_검색_및_창작자_지원,경쟁사_해외이슈,4,,,TRUE,네이버 ai 검색 기능 확대
2026.6.5,I016,플랫폼 불법촬영 이미지 차단 의무 확대,유통방지_조치,정부_국회,4,,,TRUE,플랫폼 불법촬영 이미지 차단 의무 확대
2026.6.5,I017,쿠팡페이 제재 절차 돌입,전자금융 규제 및 제재,자사_및_계열사_이슈,2,,,TRUE,쿠팡페이 제재 절차 돌입
2026.6.5,I029,애플_앱스토어_AI_탑재_앱_현황,AI_앱_및_결제,경쟁사_해외이슈,4,,,TRUE,애플 앱스토어 ai 탑재 앱 현황
2026.6.5,I030,카톡 선물하기 내 스타벅스 교환권/소비 변화,카카오톡 선물하기,자사_및_계열사_이슈,3,,,TRUE,카톡 선물하기 내 스타벅스 교환권 소비 변화
2026.6.5,I031,AI 에이전트와 IT 인프라,AI_에이전트_전략,산업동향,2,,,TRUE,ai 에이전트와 it 인프라
2026.6.5,I044,AI 가상모델 표시 의무화,AI 윤리 및 규제,정부_국회,2,,,TRUE,ai 가상모델 표시 의무화
2026.6.5,I060,카카오-구글 딥마인드 AI 콘텐츠 워터마크 도입,AI_기술_협력,자사_및_계열사_이슈,2,,,TRUE,카카오 구글 딥마인드 ai 콘텐츠 워터마크 도입
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,2026-06-08,I001,카카오 노조 임단협/파업 및 내부 갈등,노동/파업,자사_및_계열사_이슈,5,,,True,카카오 노조 임단협 파업 및 내부 갈등
2026-06-08,I002,국가 AI 인프라/AIDC/GPU 정책,AI 인프라,경쟁사_해외이슈,4,,,True,국가 ai 인프라 aidc gpu 정책
2026-06-08,I004,global_incident:digital_asset_policy:digital_asset_sector:digital_asset_policy,government_regulatory_enforcement,정부_국회,5,,,True,global incident digital asset policy digital asset sector digital asset policy
2026-06-08,I005,AI 기업 지분 관련 정책 논의,AI/정책,경쟁사_해외이슈,5,,,True,ai 기업 지분 정책 논의
2026-06-08,I006,AI 정책 컨트롤타워 인선/공백,인선/조직,자사_및_계열사_이슈,5,,,True,ai 정책 컨트롤타워 인선 공백
2026-06-08,I009,배달 플랫폼 직매입 농축산물 판매,커머스,경쟁사_해외이슈,3,,,True,배달 플랫폼 직매입 농축산물 판매
2026-06-08,I023,네이버웹툰 IPO 후 집단소송,플랫폼 IPO,경쟁사_해외이슈,3,,,True,네이버웹툰 ipo 후 집단소송
2026-06-08,I028,금융권 AI 규제,금융 AI,정부_국회,2,,,True,금융권 ai 규제
2026-06-08,I032,오픈AI 챗GPT 개편,AI 기업,경쟁사_해외이슈,2,,,True,오픈ai 챗gpt 개편
2026-06-08,I042,SK텔레콤 개인정보 유출 후폭풍,개인정보/보안,경쟁사_해외이슈,1,,,True,sk텔레콤 개인정보 유출 후폭풍
2026-06-08,I094,미국 거대 AI 법안 초안 공개,미국 AI 법안,정부_국회,1,,,True,미국 거대 ai 법안 초안 공개
2026-06-08,I105,오픈AI의 슈퍼앱 전략,AI/서비스,자사_및_계열사_이슈,1,,,True,오픈ai의 슈퍼앱 전략
2026-06-08,I111,AI 에이전트 대전환,AI 기술 동향,산업동향,1,,,True,ai 에이전트 대전환
