id,기사제목,언론사,검색어,원카테고리,Gemini카테고리,Gemini내부카테고리,Gemini자사티어,Gemini정부티어,Gemini경쟁사티어,Gemini경쟁사범위,Gemini이슈패밀리,Gemini이슈그룹,Gemini중요도,Gemini대외협력중요도,Gemini관련도,Gemini관련성,Gemini정책영향경로,Gemini경쟁시사점,GeminiPR성,Gemini제외,Gemini판단사유,Gemini라벨소스,랭킹점수,코드힌트
221,"매각 카카오게임즈, 대표 전격 교체",헤럴드경제,카카오게임즈,자사_및_계열사_이슈,자사_및_계열사_이슈,SELF_DIRECT_RISK,DIRECT_RISK,,,other,경영권/인선,카카오게임즈 경영진 교체,1,1,1,매각 절차를 밟고 있는 카카오게임즈의 대표가 전격 교체됨.,,,,,매각 중인 카카오게임즈의 대표 교체는 직접적인 내부 이슈임.,gemini,103.0,direct_self_risk
94,"매각 카카오게임즈, 대표 전격 교체",v.daum.net,카카오,자사_및_계열사_이슈,자사_및_계열사_이슈,SELF_DIRECT_RISK,DIRECT_RISK,,,other,경영권/인선,카카오게임즈 경영진 교체,1,1,1,매각된 카카오게임즈의 대표가 전격 교체됨.,,,,,매각 중인 카카오게임즈의 대표 교체는 직접적인 내부 이슈임.,gemini,100.0,direct_self_risk
29,"창사 첫 파업 맞은 카카오, ‘AI 올인’ 앞두고 조직력 내상 우려",파이낸셜투데이,카카오,자사_및_계열사_이슈,자사_및_계열사_이슈,SELF_DIRECT_RISK,DIRECT_RISK,,,other,노동/파업,카카오 노조 임단협/파업 및 내부 갈등,1,1,1,"카카오 노조가 창사 첫 파업을 예고하며, 'AI 올인'을 앞둔 상황에서 조직력 내상 우려가 제기됨.",,,,,카카오 노조의 첫 파업 예고는 경영진 인지가 필요한 직접적인 내부 리스크임.,gemini,100.0,direct_self_risk
67,"카카오게임즈, 김태환·이시우 공동대표 선임",헤럴드경제,카카오,자사_및_계열사_이슈,자사_및_계열사_이슈,SELF_DIRECT_RISK,DIRECT_RISK,,,other,경영권/인선,카카오게임즈 최대주주 변경 및 공동대표 체제,1,1,1,"카카오게임즈가 김태환, 이시우 공동대표 체제로 전환함.",,,,,카카오게임즈의 공동대표 선임은 경영진 인사가 필요한 직접적인 내부 이슈임.,gemini,100.0,direct_self_risk
65,"'라인야후에 인수' 카카오게임즈, 22일 임시주총…이사 신규선임",연합뉴스,카카오,자사_및_계열사_이슈,자사_및_계열사_이슈,SELF_DIRECT_RISK,DIRECT_RISK,,COMP_DOMESTIC_STRATEGY,other,경영권/인선,카카오게임즈 최대주주 변경 및 공동대표 체제,1,1,1,라인야후에 인수되는 카카오게임즈가 22일 임시 주주총회를 열고 이사를 신규 선임할 예정임.,,카카오 또는 계열사에 직접 발생한 외부 대응 필요 이슈,,,카카오게임즈의 임시 주총 및 이사 선임은 직접적인 내부 이슈임.,gemini,100.0,direct_self_risk
72,"카카오 노조 ""엔터프라이즈, 경영실패 책임 노동자에 전가""",연합뉴스,카카오,자사_및_계열사_이슈,자사_및_계열사_이슈,SELF_DIRECT_RISK,DIRECT_RISK,,,other,노동/파업,카카오 노조 임단협/파업 및 내부 갈등,1,1,1,카카오 노조가 엔터프라이즈 부문의 경영 실패 책임을 노동자에게 전가하고 있다고 주장하며 반발하고 있음.,,,,,계열사 경영 실패와 관련된 노조의 비판은 직접적인 내부 리스크임.,gemini,100.0,direct_self_risk
57,"""임단협 결렬은 경영진 탓""...공세 강화하는 카카오 노조[1일IT템]",파이낸셜뉴스,카카오,자사_및_계열사_이슈,자사_및_계열사_이슈,SELF_DIRECT_RISK,DIRECT_RISK,,,other,노동/파업,카카오 노조 임단협/파업 및 내부 갈등,1,1,1,임단협 결렬에 대해 카카오 노조가 경영진 탓이라며 공세를 강화하고 있음.,,,,,"노조의 경영진 책임론 제기는 직접적인 내부 갈등 심화 사안으로, 경영진의 주의가 필요함.",gemini,98.0,direct_self_risk
86,"카카오 노조 “엔터프라이즈 임단협 결렬, 고용불안이 원인”",서울경제TV,카카오,자사_및_계열사_이슈,자사_및_계열사_이슈,SELF_DIRECT_RISK,DIRECT_RISK,,,other,노동/파업,카카오 노조 임단협/파업 및 내부 갈등,1,1,1,카카오 노조가 엔터프라이즈 임단협 결렬의 원인을 고용 불안에 있다고 지적하며 경영진의 책임 회피를 비판함.,,,,,계열사 임단협 이슈와 연계된 노조의 경영진 책임론 제기는 직접적인 내부 리스크임.,gemini,98.0,direct_self_risk
96,"카카오게임즈, 김태환·이시우 공동대표 선임",네이트,카카오,자사_및_계열사_이슈,자사_및_계열사_이슈,SELF_DIRECT_RISK,DIRECT_RISK,,,other,경영권/인선,카카오게임즈 최대주주 변경 및 공동대표 체제,1,1,1,"카카오게임즈가 김태환, 이시우 공동대표 체제로 전환함.",,,,,카카오게임즈의 공동대표 선임은 경영진 인사가 필요한 직접적인 내부 이슈임.,gemini,97.0,direct_self_risk
105,"카카오 노조, 파업 전 연일 회사 압박…""교섭 결렬은 경영진탓""",뉴스1,카카오,자사_및_계열사_이슈,자사_및_계열사_이슈,SELF_DIRECT_RISK,DIRECT_RISK,,,other,노동/파업,카카오 노조 임단협/파업 및 내부 갈등,1,1,1,카카오 노조가 파업 전 회사를 압박하며 교섭 결렬은 경영진 탓이라고 주장함.,,,,,"노조와 경영진 간의 갈등 심화는 직접적인 내부 리스크로, 경영진의 인지가 필수적임.",gemini,97.0,direct_self_risk
112,"최대주주 바뀌는 카카오게임즈, 라인게임즈 출신 사내이사 선임 추진",뉴시스,카카오,자사_및_계열사_이슈,자사_및_계열사_이슈,SELF_DIRECT_RISK,DIRECT_RISK,,,other,경영권/인선,카카오게임즈 최대주주 변경 및 공동대표 체제,1,1,1,최대주주 변경을 앞둔 카카오게임즈가 라인게임즈 출신 사내이사를 선임할 것으로 보임.,,,,,카카오게임즈의 최대주주 변경과 연계된 이사 선임은 직접적인 내부 이슈임.,gemini,97.0,direct_self_risk
116,"라인야후에 인수된 카카오게임즈 경영진 재정비, 김태환·이시우 사내이사 선임",비즈니스포스트,카카오,자사_및_계열사_이슈,자사_및_계열사_이슈,SELF_DIRECT_RISK,DIRECT_RISK,,COMP_DOMESTIC_STRATEGY,other,경영권/인선,카카오게임즈 최대주주 변경 및 공동대표 체제,1,1,1,"라인야후에 인수된 카카오게임즈가 김태환, 이시우 사내이사를 선임하며 경영진을 재정비함.",,카카오 또는 계열사에 직접 발생한 외부 대응 필요 이슈,,,인수된 카카오게임즈의 경영진 재정비는 직접적인 내부 이슈임.,gemini,96.0,direct_self_risk
98,"[N2 포커스] 카카오 노조, 임단협 결렬…책임론 제기 ""사업 로드맵 공개해야""",뉴스투데이,카카오,자사_및_계열사_이슈,자사_및_계열사_이슈,SELF_DIRECT_RISK,DIRECT_RISK,,,other,노동/파업,카카오 노조 임단협/파업 및 내부 갈등,1,1,1,카카오 노조는 임단협 결렬에 대한 책임론을 제기하며 사업 로드맵 공개를 요구하고 있음.,,,,,"노조의 사업 로드맵 공개 요구는 경영 전략에 대한 내부적인 의문 제기로, 경영진의 주의가 필요함.",gemini,96.0,direct_self_risk
125,"'라인야후에 인수' 카카오게임즈, 22일 임시주총…이사 신규선임",매일경제 마켓,카카오,자사_및_계열사_이슈,자사_및_계열사_이슈,SELF_DIRECT_RISK,DIRECT_RISK,,COMP_DOMESTIC_STRATEGY,other,경영권/인선,카카오게임즈 최대주주 변경 및 공동대표 체제,1,1,1,라인야후에 인수된 카카오게임즈가 22일 임시 주주총회를 통해 이사를 신규 선임할 예정임.,,카카오 또는 계열사에 직접 발생한 외부 대응 필요 이슈,,,카카오게임즈의 임시 주총 및 이사 선임은 직접적인 내부 이슈임.,gemini,96.0,direct_self_risk
220,"최대주주 바뀌는 카카오게임즈, 라인게임즈 출신 사내이사 선임 추진",파이낸셜뉴스,카카오게임즈,자사_및_계열사_이슈,자사_및_계열사_이슈,SELF_DIRECT_RISK,DIRECT_RISK,,,other,경영권/인선,카카오게임즈 최대주주 변경 및 공동대표 체제,1,1,1,최대주주가 바뀌는 카카오게임즈가 라인게임즈 출신 사내이사를 선임할 것으로 추진함.,,,,,카카오게임즈의 최대주주 변경과 연계된 이사 선임은 직접적인 내부 이슈임.,gemini,96.0,direct_self_risk
