issue_id,issue_group,issue_family,internal_category,primary_category,self_tier,gov_tier,competitor_tier,competitor_scope,issue_score,max_ceo_priority,max_pa_priority,max_relevance,article_count,top_article_id,candidate_article_ids,titles,sources,company_impact,label_reasons,is_pr,exclude
I001,global_incident:platform_regulation:coupang:platform_data_protection_obligation,platform_obligation,SELF_INCLUDED_REGULATION,정부_국회,DIRECT_RISK,GOV_DIRECT_PLATFORM_OBLIGATION,COMP_DOMESTIC_DIRECT_RISK,domestic,453.5,5,5,5,1,2010,2010,"개인정보위, 내일 쿠팡 제재안 심의…SKT 이상 ‘역대 최대’ 나오나",v.daum.net,카카오 또는 계열사에 직접 발생한 외부 대응 필요 이슈,로컬 보조 라벨,False,False
I002,global_incident:platform_regulation:coupang:platform_operator_obligation,self_privacy_security,SELF_DIRECT_RISK,자사_및_계열사_이슈,DIRECT_RISK,,COMP_DOMESTIC_DIRECT_RISK,domestic,401.5,5,5,5,1,2195,2195,"3천만건 유출 쿠팡, 내일 제재 심판대",v.daum.net,카카오 또는 계열사에 직접 발생한 외부 대응 필요 이슈,로컬 보조 라벨,False,False
I003,government_regulatory_enforcement:1분기 영업이익 감소 보안 상장사 15곳 어디 적자 3배 확대한 곳도,government_regulatory_enforcement,GOV_PLATFORM_REGULATION,정부_국회,,GOV_REGULATORY_ENFORCEMENT,,other,309.5,4,5,4,1,1265,1265,1분기 영업이익 감소 보안 상장사 15곳 어디?...적자 3배 확대한 곳도,지디넷코리아,카카오 플랫폼·AI·대관 대응 경로에 영향을 줄 수 있는 정책/감독 이슈,로컬 보조 라벨,False,False
I004,쿠팡 와우회원가 기만 광고 공정위 제재,쿠팡_규제_제재,COMPETITOR_PLATFORM_RISK,경쟁사_해외이슈,DIRECT_RISK,GOV_REGULATORY_ENFORCEMENT,COMP_DOMESTIC_DIRECT_RISK,domestic,270.0,2,2,3,12,791,"791,658,640,818,808,672,833,813,787,785","쿠팡 '와우회원가' 광고 제재… 공정위, 과징금 5억원 부과 | ‘와우회원가’의 함정…공정위, 쿠팡 기만 광고 제재 | 쿠팡, 와우회원가 기만 광고…공정위 과징금 5억 | 쿠팡, 와우회원가 기만 광고…공정위 과징금 5억 | 쿠팡 ‘와우회원가’ 기만 광고… 법정 최고 과징금 5억 부과",v.daum.net | v.daum.net | v.daum.net | SBSBiz | 서울신문,경쟁사인 쿠팡에 대한 공정위의 과징금 부과 조치가 향후 카카오 커머스 및 멤버십 서비스 운영에 대한 정책적 시사점을 제공할 수 있습니다.,쿠팡에 대한 공정위의 기만 광고 제재는 카카오 또한 잠재적으로 직면할 수 있는 규제 리스크를 시사하므로 관련 동향 파악이 필요합니다.,False,False
I005,global_incident:platform_regulation:google:platform_algorithm_ad_obligation,comp_overseas_regulation_data,COMPETITOR_PLATFORM_RISK,경쟁사_해외이슈,,,COMP_OVERSEAS_REGULATION_DATA,overseas,256.5,4,3,4,1,2467,2467,"알리바바 인터내셔널, ‘픽코파일럿’ 구글 광고 연동…AI 마케팅 강화",이투데이,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,로컬 보조 라벨,False,False
I006,카카오 노조 임단협/파업 및 내부 갈등,노조_파업,SELF_DIRECT_RISK,자사_및_계열사_이슈,DIRECT_RISK,,COMP_DOMESTIC_AI_PLATFORM,other,246.0,1,5,1,112,151,"151,174,2,1,16,75,14,65,64,111","젠슨 황 품은 네이버, 파업 앞둔 카카오…AI 시대 엇갈린 희비 | 젠슨 황 품은 네이버, 파업 앞둔 카카오…AI 시대 엇갈린 희비 | 카카오 오늘 창사 첫 파업…노조 600명 판교 행진 | 카카오 오늘 창사 첫 파업…노조 600명 판교 행진한다 | 카카오, 오늘 10시부터 부분파업…창사 후 처음",네이트 | ebn.co.kr | 연합뉴스TV | 연합뉴스 | 연합뉴스TV,"젠슨 황 엔비디아 CEO와 만난 네이버는 AI 시대를 준비하는 반면, 파업을 앞둔 카카오는 엇갈린 희비를 보여준다. / 노조의 파업으로 인한 회사 운영 및 대외 이미지 영향 / 노조의 파업으로 인한 회사 운영 및 대외 이미지 영향. 사측의 '안정적 서비스에 최선'이라는 입장은 서비스 중단 가능성에 대한 우려를 관리하려는 노력. / 노조의 파업으로 인한 회사 운영 및 대외 이미지 영향. 사측의 '대응체계 마련'은 파업에 대한 준비 및 관리 노력을 보여줌. / 파업을 하루 앞둔 시점에서 노사 간 긴장 상황 및 대외 언론의 관심도를 보여줌. / 노조의 파업으로 인한 회사","AI 시대 플랫폼 경쟁에서 네이버와의 대비를 보여주는 기사로, 카카오의 AI 전략 및 파업 상황과 연관되어 있음. / 카카오의 역사상 첫 파업으로, 회사 운영 및 대외 이미지에 직접적인 영향을 미치는 중요한 이슈입니다. / 창사 이래 첫 파업을 앞둔 시점에서 회사의 공식 입장을 전달하며, 서비스 안정성에 대한 의지를 표명합니다. / 파업 당일 회사의 대응 방안을 구체적으로 언급하며, 실제 운영상의 리스크 관리 노력을 보여줍니다. / 파업 임박 상황을 전달하며, 언론의 높은 관심을 보여줍니다. / 파업이 단순히 일회성 사건이 아니라, 장기적인 노사 협상 과정의 중요한 단계임을 보여줍니다. / 카카오의 역사적 사건인 첫 파업과 더불어, 이용",False,False
I007,쿠팡 개인정보 유출 관련 개인정보위 제재,쿠팡_규제_제재,COMPETITOR_PLATFORM_RISK,경쟁사_해외이슈,,GOV_DIRECT_PLATFORM_OBLIGATION,COMP_DOMESTIC_DIRECT_RISK,domestic,246.0,2,2,3,8,2300,"2300,2277,537,536,452,535,2235,567","내일 쿠팡 개인정보 유출 제재안 심의…역대급 과징금 나오나 | 개인정보위, 쿠팡 3300만건 개인정보 유출 처분안 심의…역대 최대 과징금 넘나 | 개인정보위, 오늘 쿠팡 제재안 심의···역대 최대 과징금 가능성 | 개인정보위, 쿠팡 제재안 심의…과징금 규모 관심 | 개인정보위, 쿠팡 제제안 오늘 심의, 역대 최대 과징금 나올까",매일경제 | 쿠키뉴스 | 서울파이낸스 | TBS 서울 | 네이트,경쟁사인 쿠팡의 대규모 개인정보 유출 관련 과징금 부과 여부는 향후 카카오의 개인정보 보호 정책 및 시스템 강화에 대한 경각심을 높일 수 있습니다.,쿠팡의 개인정보 유출 및 제재 이슈는 카카오의 개인정보 보호 및 규제 리스크 관리에 중요한 시사점을 제공합니다.,False,False
I008,쿠팡 개인정보 유출 및 제재,개인정보 유출,GOV_PLATFORM_REGULATION,경쟁사_해외이슈,DIRECT_RISK,GOV_REGULATORY_ENFORCEMENT,COMP_DOMESTIC_DIRECT_RISK,domestic,246.0,2,2,1,7,2252,"2252,2285,2272,2289,2171,2205,2223","개인정보위, 내일 쿠팡 제재안 심의‥과징금 규모 촉각 | 개인정보위, 10일 쿠팡 제재안 심의…1조원대 과징금 나오나 | 개인정보위, 쿠팡 제재안 심의 착수…역대급 과징금 나오나 | '3300만명 유출' 쿠팡 조단위 과징금 나올까…10일 제재수위 결론 | 3,367만 건 유출된 쿠팡… 제재 수위 결정된다",v.daum.net | 네이트 | 이지경제 | 네이트 | v.daum.net,"개인정보보호위원회의 쿠팡 제재안 심의는 카카오의 개인정보 관리 및 보안 체계 강화 필요성을 재확인시키며, 관련 정책 대응에 영향을 줄 수 있습니다. / 개인정보보호위원회의 쿠팡 제재안 심의는 카카오의 개인정보 보호 관련 법규 준수 및 사고 대응 체계 점검의 필요성을 제기하며, 관련 정책 추진에 영향을 줄 수 있습니다. / 개인정보보호위원회의 쿠팡 제재안 심의 착수는 카카오의 개인정보 관리 및 보안 체계 강화 필요성을 재확인시키며, 향후 규제 강화 동향 파악에 기여합니다. / 카카오 커머스/결제 서비스의 개인정보 관리 및 보안에 대한 경각심을 높이고, 향후 유사 사고","쿠팡에 대한 개인정보보호위원회의 제재 심의는 카카오의 플랫폼 규제 환경 및 개인정보 보호 의무에 대한 중요한 시사점을 제공합니다. / 쿠팡의 대규모 개인정보 유출 사건으로 인한 제재 수위 결정은 카카오에게도 직접적인 규제 위험 및 관련 법규 준수 필요성을 시사합니다. / 직접적인 자사 이슈로 분류되며, 대규모 개인정보 유출 사건은 카카오에게도 직접적인 리스크이므로 최우선으로 파악해야 합니다. / 직접적인 자사 이슈로 분류되며, 개인정보 유출에 대한 규제 당국의 제재 결정 과정은 카카오에게 직접적인 시사점을 제공합니다. / 직접적인 자사 이슈로 분류되며, 개인정보 유출 사고에 대한 규제 당국의 심의는 카카오에게 직접적인 규제 및 법규 준수",False,False
I009,플랫폼 인수합병 및 공정거래 규제,플랫폼 인수합병,SELF_DIRECT_RISK,경쟁사_해외이슈,DIRECT_RISK,GOV_REGULATORY_ENFORCEMENT,COMP_DOMESTIC_DIRECT_RISK,mixed,237.5,2,2,1,1,2406,2406,"우버, 배민·카모 인수설...주병기 공정위 ""플랫폼 생태계 전반 살필 것""",v.daum.net,"카카오의 잠재적 M&A 추진 시 공정거래위원회의 시장 생태계 전반을 살피는 규제 기조를 파악하고, 인수 대상 기업 선정 및 협상 과정에 반영할 필요가 있습니다.",플랫폼 인수합병 및 공정거래 규제 동향은 카카오의 잠재적 M&A 전략에 직접적인 영향을 미치므로 주목해야 합니다.,False,False
I010,쿠팡 개인정보 유출 제재,개인정보 유출 제재,GOV_PLATFORM_REGULATION,경쟁사_해외이슈,DIRECT_RISK,GOV_DIRECT_PLATFORM_OBLIGATION,COMP_DOMESTIC_DIRECT_RISK,domestic,234.0,2,1,1,30,2256,"2256,2247,2199,2254,2298,2179,2251,2237,2276,2238","내일 쿠팡 개인정보 유출 제재안 심의…역대급 과징금 나오나 | 개인정보위, 내일 쿠팡 유출사고 처분안 심의…과징금 규모 촉각 | 쿠팡 정보유출 과징금 '초읽기'..중과시 산업계 혼란 불가피 | '3370만명 정보 유출' 쿠팡, 내일 과징금 운명의 날…최대 1.5조 거론 | 개인정보위, 내일 쿠팡 제재안 심의…역대 최대 과징금 나오나",v.daum.net | v.daum.net | v.daum.net | v.daum.net | 매일경제 마켓,"경쟁사인 쿠팡의 대규모 개인정보 유출에 따른 과징금 결정은 전자상거래 시장 전반의 규제 환경 및 개인정보 보호 의무 준수 수준에 대한 경각심을 높일 수 있습니다. / 개인정보보호위원회가 쿠팡의 개인정보 유출 사건에 대한 제재안을 심의하는 것은 전자상거래 플랫폼에 대한 개인정보 보호 규제 강화 움직임을 보여주며, 이는 카카오의 서비스 운영에도 영향을 미칠 수 있습니다.","다수의 기사가 쿠팡의 개인정보 유출에 따른 제재 및 과징금 부과 가능성을 보도하고 있으며, 이는 카카오에게도 중요한 규제 및 경쟁 환경 변화에 대한 시사점을 제공하므로 통합하여 분류합니다. '플랫폼 의무'와 직접적으로 관련되며, 국내 경쟁사 이슈로 분류됩니다. / 쿠팡의 개인정보 유출에 대한 개인정보위의 제재 심의는 플랫폼 사업자의 개인정보 보호 의무와 관련된 중요한 정부 정책 이슈이므로 'GOV_PLATFORM_OBLIGATION'으로 분류하며, 경쟁사 이슈로도 중요하여 'COMP_DOMESTIC_DIRECT_RISK'를 추가합니다.",False,False
