issue_id,issue_group,issue_family,internal_category,primary_category,self_tier,gov_tier,competitor_tier,competitor_scope,issue_score,max_ceo_priority,max_pa_priority,max_relevance,article_count,top_article_id,candidate_article_ids,titles,sources,company_impact,label_reasons,is_pr,exclude
I001,국가 AI 인프라/AIDC/GPU 정책,AI 인프라,COMPETITOR_AI_STRATEGY,경쟁사_해외이슈,STRATEGIC_REFERENCE,GOV_AI_CORE_POLICY,COMP_DOMESTIC_AI_PLATFORM,domestic,374.0,4,4,5,26,1794,"1794,1891,1832,1621,1776,1845,1629,1799,1632,1817","네이버 방문한 젠슨 황...""GPU는 행복"" | ‘통신사→AI 인프라 기업’…SKT, 그룹 AI 전략 핵심축 부상 | SKT, 엔비디아와 AI 데이터센터 판 키운다...“아시아 최대 인프라 될 것” | [공시모음] 네이버, 엔비디아와 AI 데이터센터 사업 진출 外 | 젠슨 황 ""GPU 많을수록 더 많이 일할 수 있어""…네이버웹툰 작품 완성",조선일보 | 서울경제 | 매일경제 | 딜사이트 | 이데일리,"카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈 / 네이버가 엔비디아와 협력하여 AI 데이터센터 사업에 진출함. / 젠슨 황의 네이버 웹툰 관련 발언은 AI 및 GPU 기술이 콘텐츠 제작에 미치는 영향을 보여주지만, 카카오의 직접적인 사업 영역과 관련성이 낮음. / SKT와 엔비디아의 GPU부터 데이터센터까지 포괄하는 AI 동맹 강화는 카카오의 AI 인프라 구축 및 GPU 확보 전략에 대한 경쟁적 시사점을 제공하며, 향후 협력 가능성을 탐색하는 데 참고가 될 수 있습니다. / 카카오는 네이버의 엔비디아와의 GPU 확보 및 AI 인프라 구축 동향을 파","로컬 보조 라벨 / 카카오와 직접 경쟁하는 네이버의 AI 인프라 사업 진출은 중요한 전략적 시사점을 제공하여 분류. / 카카오의 사업 영역과 직접적인 연관성이 낮은 네이버 웹툰 관련 소식으로, 관련성이 낮아 제외함. / SKT와 엔비디아의 AI 동맹 강화는 카카오의 AI 인프라 구축 및 GPU 확보 전략에 대한 경쟁적 시사점을 제공합니다. / 네이버의 엔비디아와의 GPU 확보 및 AI 인프라 구축은 카카오의 AI 경쟁 환경에 직접적인 영향을 미치므로 중요 이슈입니다. / SKT의 AI 클라우드 사업 강화는 카카오의 클라우드 사업 경쟁 환경에 영향을 미치므로 중요 이슈입니다. / AI 데이터센터의 탄소중립 및 RE100 이행은 카카오의 데",False,False
I002,"공정위, 20조 원 규모 담합 적발 및 과징금 인상",공정거래위원회 담합 적발,GOV_AI_DIGITAL_POLICY,정부_국회,,GOV_AI_CORE_POLICY,,other,329.5,5,4,5,1,560,560,"공정위, 20조 원 규모 담합 적발하고 최소 과징금 20배 인상…국민 장바구니 부담 줄어들까",한국AI부동산신문,공정거래위원회가 20조 원 규모의 담합을 적발하고 최소 과징금을 20배 인상함.,"카카오의 핵심 사업과 직접적인 연관성이 낮은 공정위의 담합 적발 관련 이슈로, GOV_AI_CORE_POLICY에 해당하지만 우선순위 낮음.",False,False
I003,네이버 AI 투자 확대 및 수익성 시험대,네이버 AI 전략,COMPETITOR_AI_STRATEGY,경쟁사_해외이슈,,GOV_AI_CORE_POLICY,COMP_DOMESTIC_AI_PLATFORM,domestic,325.5,5,4,1,1,982,982,"[분석_AI플랫폼 ②네이버] 최수연 체제 네이버, AI 투자 확대에 순이익 급감... 플랫폼 성장 이어갔지만 수익성 방어 시험대 올라",뉴스워커,네이버가 AI 투자 확대에 따른 순이익 감소와 플랫폼 성장 속에서 수익성 방어에 대한 시험대에 올랐다는 분석.,"경쟁사의 AI 전략 및 수익화 관련 이슈로, 카카오의 AI 전략 수립에 참고가 될 수 있어 분류. 다만, 'platform_operator_obligation'이 아닌 분석 기사이므로 internal_category 조정.",False,False
I004,온라인 커뮤니티 규제 관련 논의,플랫폼 규제,COMPETITOR_PLATFORM_RISK,경쟁사_해외이슈,,OFF_TOPIC,COMP_DOMESTIC_DIRECT_RISK,domestic,319.5,4,4,5,1,1395,1395,"일베금지법 완벽정리 처벌부터 위헌 논란까지, 정말 커뮤니티 폐쇄가 가능할까",네이버 프리미엄콘텐츠,온라인 커뮤니티 폐쇄 가능성 등 규제 관련 논의.,카카오의 직접적인 서비스와 관련된 규제라기보다는 일반론적인 논의에 가까워 GOV_GENERAL_POLICY로 분류하며 우선순위 낮음. / v23_category_reassign:government_without_policy_basis,False,False
I005,카카오 임직원 지역 인수위 참여,카카오 임직원 외부 활동,SELF_DIRECT_RISK,자사_및_계열사_이슈,FILLER_REFERENCE,,,other,315.0,5,5,5,2,82,"82,116","제주대 김일환·카카오 이재승 위성곤 당선인 인수위 가동 | 위성곤 당선인, 제주대 김일환·카카오 이재승 투톱 인수위 가동",서귀포신문 | 제주환경일보,카카오 임직원이 지역 정치인의 인수위원회에 참여하는 사례.,카카오에 직접적인 리스크나 전략적 시사점을 주는 이슈가 아니므로 FILLER_REFERENCE로 분류.,False,False
I006,global_incident:platform_regulation:baemin:delivery_app_fee_policy,comp_domestic_finance_commerce,COMPETITOR_PLATFORM_RISK,경쟁사_해외이슈,,,COMP_DOMESTIC_FINANCE_COMMERCE,domestic,315.0,4,4,5,1,2235,2235,"배민 B마트, 농가 직거래 56곳…매출 53% '껑충' 상생 통했다 : 기업/산업",재경일보,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,로컬 보조 라벨,False,False
I007,"코인원, 보이스피싱 피해 차단 성과 인정",가상자산 사업자 성과,GOV_PLATFORM_REGULATION,경쟁사_해외이슈,,GOV_REGULATORY_ENFORCEMENT,,other,309.5,4,5,4,1,2719,2719,"코인원, 보이스피싱 피해 차단 성과 인정…경찰청장 감사장",이투데이,가상자산 사업자인 코인원이 보이스피싱 피해 차단 성과를 인정받아 경찰청장 감사장을 수상함.,"카카오와 직접적인 관련성이 낮은 가상자산 거래소의 성과 관련 기사로, GOV_REGULATORY_ENFORCEMENT에 해당하더라도 우선순위가 낮아 제외. / v23_category_reassign:government_without_policy_basis",False,False
I008,가상자산 거래소별 피해 보상금 지급 현황,가상자산 거래소 사고,GOV_PLATFORM_REGULATION,경쟁사_해외이슈,,GOV_REGULATORY_ENFORCEMENT,,other,309.5,4,5,4,1,1093,1093,"[크립토Now] 빗썸 25억·업비트 8억…가상자산 거래소, 피해 보상금 지급",매일경제 마켓,"빗썸, 업비트 등 가상자산 거래소의 사고 발생 시 피해 보상금 지급 현황을 비교함.","카카오의 핵심 사업과 직접적인 연관성이 낮은 가상자산 거래소 관련 이슈로, GOV_REGULATORY_ENFORCEMENT에 해당하더라도 우선순위가 낮아 제외. / v23_category_reassign:government_without_policy_basis",False,False
I009,"코인원, 보이스피싱 피해 예방 공로 인정",가상자산_보안,GOV_PLATFORM_REGULATION,경쟁사_해외이슈,,GOV_REGULATORY_ENFORCEMENT,COMP_DOMESTIC_FINANCE_COMMERCE,domestic,271.5,3,3,3,1,2706,2706,"코인원, 보이스피싱 피해 예방 공로 인정…경찰청장 감사장",전자신문,"가상자산 사업자의 보이스피싱 예방 공로 인정은 관련 업계의 규제 준수 및 사회적 책임 이행 노력을 보여주는 사례로, 향후 가상자산 사업자에 대한 규제 환경 및 사회적 인식 변화에 대한 참고 자료가 될 수 있음. (직접적 영향은 낮음)","가상자산 사업자의 사회적 기여 사례로, 직접적인 카카오 관련성은 낮으나 가상자산 시장 전반의 동향을 파악하는 데 참고할 수 있음. / v23_category_reassign:government_without_policy_basis",False,False
I010,"코인원, 피싱 피해 막아 경찰청장 감사장",가상자산_보안,GOV_PLATFORM_REGULATION,경쟁사_해외이슈,,GOV_REGULATORY_ENFORCEMENT,COMP_DOMESTIC_FINANCE_COMMERCE,domestic,271.0,3,3,3,1,2710,2710,"코인원, 피싱 피해 막아 경찰청장 감사장···6800만원 고객 자산 보호",이뉴스투데이,"가상자산 사업자의 보이스피싱 예방 공로 인정은 관련 업계의 규제 준수 및 사회적 책임 이행 노력을 보여주는 사례로, 향후 가상자산 사업자에 대한 규제 환경 및 사회적 인식 변화에 대한 참고 자료가 될 수 있음. (직접적 영향은 낮음)","가상자산 사업자의 사회적 기여 사례로, 직접적인 카카오 관련성은 낮으나 가상자산 시장 전반의 동향을 파악하는 데 참고할 수 있음. / v23_category_reassign:government_without_policy_basis",False,False
I011,카카오페이증권 뉴스 및 주식 분석,카카오페이증권,SELF_AFFILIATE_BUSINESS,자사_및_계열사_이슈,STRATEGIC_REFERENCE,,,other,253.5,4,3,4,1,193,193,(주)카카오페이증권 News & Stock Coverage,Seoul Economic Daily,카카오페이증권의 뉴스 및 주식 관련 분석 정보를 제공함.,"카카오페이증권의 개별적인 뉴스나 주식 분석은 직접적인 리스크나 전략적 시사점을 주지 않아 STRATEGIC_REFERENCE로 분류. 다만, 다른 이슈가 부족할 경우 참고.",False,False
